"embedder","dataset","length","metric_test","metric"
"ContextPred","hERG_Karim","1024","0.7554511713512592","0.7447949519010763"
"GPT-GNN","hERG_Karim","1024","0.7644526583944808","0.7767116612371404"
"GraphMVP","hERG_Karim","1024","0.830907949586797","0.8233387999633909"
"GROVER","hERG_Karim","1024","0.7993908607786255","0.7905884913832553"
"AttributeMask","hERG_Karim","1024","0.7226993491138685","0.7552557566582812"
"GraphLog","hERG_Karim","1024","0.8015169059749885","0.8226783518976133"
"GraphCL","hERG_Karim","1024","0.8279515370176251","0.824840268038024"
"InfoGraph","hERG_Karim","1024","0.7766793227858901","0.7754377632825507"
"Not-trained","hERG_Karim","1024","0.766756356500329","0.7703298035228845"
"MolBert","hERG_Karim","1024","0.7908744911143073","0.7880110124149395"
"ChemBertMLM-5M","hERG_Karim","1024","0.7305474634943077","0.7164167105728584"
"ChemBertMLM-10M","hERG_Karim","1024","0.8115946710221594","0.8043082486747751"
"ChemBertMLM-77M","hERG_Karim","1024","0.7755896370151871","0.791143811947926"
"ChemBertMTR-5M","hERG_Karim","1024","0.8498314887496649","0.8511777990506368"
"ChemBertMTR-10M","hERG_Karim","1024","0.8565012432656445","0.8546309282634668"
"ChemBertMTR-77M","hERG_Karim","1024","0.8551318227249457","0.8576907569427439"
"ChemGPT-1.2B","hERG_Karim","1024","0.7992637917164379","0.7860531673060892"
"ChemGPT-19M","hERG_Karim","1024","0.7763435191731064","0.753477246698378"
"ChemGPT-4.7M","hERG_Karim","1024","0.7819120084834597","0.7608559604819539"
"DenoisingPretrainingPQCMv4","hERG_Karim","1024","0.8088256624655663","0.8124797474961103"
"FRAD_QM9","hERG_Karim","1024","0.8066417200945858","0.8061894125475237"
"MolR_gat","hERG_Karim","1024","0.8352255552034323","0.8315634809323449"
"MolR_gcn","hERG_Karim","1024","0.8268383876551035","0.8590722559867019"
"MolR_tag","hERG_Karim","1024","0.8579370931961678","0.8538059865783101"
"MoleOOD_OGB_GIN","hERG_Karim","1024","0.7404393481387581","0.7411711450982139"
"MoleOOD_OGB_GCN","hERG_Karim","1024","0.763147838911777","0.7683261970311994"
"MoleOOD_OGB_SAGE","hERG_Karim","1024","0.7676741790790083","0.765140215350594"
"ThreeDInfomax","hERG_Karim","1024","0.8220256088344994","0.8150708311998636"
