,embedder,dataset,metric_test,metric
365,ChemBertMLM-10M,Tox21,0.750389534255874,0.8419490586932448
377,ChemBertMLM-10M,Tox21,0.9055740432612314,0.8902246640918239
389,ChemBertMLM-10M,Tox21,0.8554195102368526,0.8388284901442796
401,ChemBertMLM-10M,Tox21,0.8052632587736952,0.8336048879837067
413,ChemBertMLM-10M,Tox21,0.6945450809848304,0.7281507459363171
425,ChemBertMLM-10M,Tox21,0.7766499037685478,0.838076923076923
437,ChemBertMLM-10M,Tox21,0.7493825171821307,0.8117754982903844
449,ChemBertMLM-10M,Tox21,0.7426462426462426,0.7900691923774955
461,ChemBertMLM-10M,Tox21,0.7694852658305763,0.8136613255096667
473,ChemBertMLM-10M,Tox21,0.7430040770941437,0.8629706034038165
485,ChemBertMLM-10M,Tox21,0.8991959120218161,0.8806025435238918
497,ChemBertMLM-10M,Tox21,0.781532647751208,0.7796152407861388
509,ChemBertMLM-10M,Tox21,0.7208674498635338,0.8602828940673655
521,ChemBertMLM-10M,Tox21,0.8424962581681451,0.9348204398038286
533,ChemBertMLM-10M,Tox21,0.8384123972169514,0.8524109014675052
545,ChemBertMLM-10M,Tox21,0.7964250248262165,0.8176803394625176
557,ChemBertMLM-10M,Tox21,0.7030671239588437,0.7354221829949986
569,ChemBertMLM-10M,Tox21,0.7835300071921365,0.867231489764774
581,ChemBertMLM-10M,Tox21,0.7922202797202798,0.6758935508935509
593,ChemBertMLM-10M,Tox21,0.7659085300115605,0.7638729977116704
605,ChemBertMLM-10M,Tox21,0.8000611818901605,0.8270045172219085
617,ChemBertMLM-10M,Tox21,0.8188100961538461,0.7506810663553221
629,ChemBertMLM-10M,Tox21,0.8919269933818755,0.8893925184953633
641,ChemBertMLM-10M,Tox21,0.8301660914581537,0.8839921652421652
653,ChemBertMLM-10M,Tox21,0.7889665889665891,0.8327272727272728
665,ChemBertMLM-10M,Tox21,0.8778265736674417,0.9113729508196721
677,ChemBertMLM-10M,Tox21,0.8319534773616407,0.903640467078795
689,ChemBertMLM-10M,Tox21,0.7938635179022493,0.8118212197159566
701,ChemBertMLM-10M,Tox21,0.7165516156312074,0.0
713,ChemBertMLM-10M,Tox21,0.8141566971616232,0.8342759837012711
725,ChemBertMLM-10M,Tox21,0.7204785430591883,0.8223129610115911
737,ChemBertMLM-10M,Tox21,0.7409211817755083,0.8043826956644808
749,ChemBertMLM-10M,Tox21,0.7804307116104869,0.7712615384615384
761,ChemBertMLM-10M,Tox21,0.7577429345722029,0.7621803640955486
773,ChemBertMLM-10M,Tox21,0.8931309453603753,0.9149199183059229
785,ChemBertMLM-10M,Tox21,0.7283798895052093,0.8309613319011816
797,ChemBertMLM-10M,Tox21,0.7547988702908842,0.7897682250396195
809,ChemBertMLM-10M,Tox21,0.8784516765285996,0.8538618083147592
821,ChemBertMLM-10M,Tox21,0.8569736842105263,0.8823042864788596
833,ChemBertMLM-10M,Tox21,0.7926698925358051,0.8271750805585392
845,ChemBertMLM-10M,Tox21,0.698778008831982,0.7593793547003966
857,ChemBertMLM-10M,Tox21,0.7636063982011446,0.8548549810844892
869,ChemBertMLM-10M,Tox21,0.8061983892343765,0.7981427174975563
881,ChemBertMLM-10M,Tox21,0.736118580511128,0.7723100525248323
893,ChemBertMLM-10M,Tox21,0.7769490761604325,0.8075507700695107
905,ChemBertMLM-10M,Tox21,0.7668573943661972,0.8575297941495126
917,ChemBertMLM-10M,Tox21,0.8703807425279431,0.8769054679777327
929,ChemBertMLM-10M,Tox21,0.7607958732498159,0.8465828321487152
941,ChemBertMLM-10M,Tox21,0.7805100182149362,0.8962175058402505
953,ChemBertMLM-10M,Tox21,0.852231520223152,0.9071310116086235
965,ChemBertMLM-10M,Tox21,0.8315881495871781,0.8704243602202786
977,ChemBertMLM-10M,Tox21,0.7317569786535304,0.8038664564338109
989,ChemBertMLM-10M,Tox21,0.6970841863639183,0.7480753480753481
1001,ChemBertMLM-10M,Tox21,0.7486273487186175,0.8217419354838711
1013,ChemBertMLM-10M,Tox21,0.7967632495873831,0.0
1025,ChemBertMLM-10M,Tox21,0.780490117977315,0.7859212277816929
1037,ChemBertMLM-10M,Tox21,0.7720294821839351,0.8426374678394064
1049,ChemBertMLM-10M,Tox21,0.7341656473631673,0.8138434500473164
1061,ChemBertMLM-10M,Tox21,0.856212547389018,0.8694083694083694
1073,ChemBertMLM-10M,Tox21,0.7923119333496692,0.8141531569965871
