,embedder,dataset,metric_test,metric
1145,ChemBertMLM-10M,ToxCast,0.6847243719490416,0.7531111111111112
1157,ChemBertMLM-10M,ToxCast,0.5980392156862745,0.6688839615668885
1169,ChemBertMLM-10M,ToxCast,0.6572902015939991,0.7115384615384616
1181,ChemBertMLM-10M,ToxCast,0.6131621187800963,0.9195402298850575
1193,ChemBertMLM-10M,ToxCast,0.5938228438228438,0.8069444444444445
1205,ChemBertMLM-10M,ToxCast,0.6646655231560892,0.8129870129870129
1217,ChemBertMLM-10M,ToxCast,0.742003367003367,0.828992628992629
1229,ChemBertMLM-10M,ToxCast,0.39257142857142857,0.8052434456928839
1241,ChemBertMLM-10M,ToxCast,0.7177996422182469,0.6979166666666667
1253,ChemBertMLM-10M,ToxCast,0.6523876404494382,0.888888888888889
1265,ChemBertMLM-10M,ToxCast,0.5673503325942351,0.7635327635327636
1277,ChemBertMLM-10M,ToxCast,0.6663763066202091,0.8386554621848741
1289,ChemBertMLM-10M,ToxCast,0.4686998394863563,0.5388888888888889
1301,ChemBertMLM-10M,ToxCast,0.5660299003322259,0.6536585365853659
1313,ChemBertMLM-10M,ToxCast,0.596265006669631,0.7875
1325,ChemBertMLM-10M,ToxCast,0.6495098039215685,1.0
1337,ChemBertMLM-10M,ToxCast,0.6451724137931033,0.7757750540735401
1349,ChemBertMLM-10M,ToxCast,0.5497076023391814,0.700956937799043
1361,ChemBertMLM-10M,ToxCast,0.6519142957499122,0.7208333333333333
1373,ChemBertMLM-10M,ToxCast,0.6408195429472024,0.733274647887324
1385,ChemBertMLM-10M,ToxCast,0.6377142857142857,0.9513108614232209
1397,ChemBertMLM-10M,ToxCast,0.695024077046549,0.8124999999999999
1409,ChemBertMLM-10M,ToxCast,0.5673952641165756,0.7708333333333334
1421,ChemBertMLM-10M,ToxCast,0.5855899419729206,0.7222222222222222
1433,ChemBertMLM-10M,ToxCast,0.6935370565507551,0.788235294117647
1445,ChemBertMLM-10M,ToxCast,0.5666666666666668,0.96
1457,ChemBertMLM-10M,ToxCast,0.42218246869409654,0.8988764044943821
1469,ChemBertMLM-10M,ToxCast,0.686624649859944,0.5994318181818182
1481,ChemBertMLM-10M,ToxCast,0.6063372717508055,0.6981499513145083
1493,ChemBertMLM-10M,ToxCast,0.5869291998324256,0.7955209347614411
1505,ChemBertMLM-10M,ToxCast,0.3553459119496855,0.6363636363636364
1517,ChemBertMLM-10M,ToxCast,0.5714285714285714,0.782608695652174
1529,ChemBertMLM-10M,ToxCast,0.4237588652482269,0.0
1541,ChemBertMLM-10M,ToxCast,0.5466666666666666,0.0
1553,ChemBertMLM-10M,ToxCast,0.5122549019607843,0.6390977443609023
1565,ChemBertMLM-10M,ToxCast,0.5673469387755102,0.6833333333333333
1577,ChemBertMLM-10M,ToxCast,0.49387755102040815,0.0
1589,ChemBertMLM-10M,ToxCast,0.5492424242424242,0.0
1601,ChemBertMLM-10M,ToxCast,0.5644444444444445,0.7708333333333333
1613,ChemBertMLM-10M,ToxCast,0.38222222222222224,0.8115942028985508
1625,ChemBertMLM-10M,ToxCast,0.47777777777777775,0.5795454545454546
1637,ChemBertMLM-10M,ToxCast,0.738095238095238,0.0
1649,ChemBertMLM-10M,ToxCast,0.5814814814814815,0.8863636363636364
1661,ChemBertMLM-10M,ToxCast,0.2368421052631579,0.8958333333333334
1673,ChemBertMLM-10M,ToxCast,0.4385964912280702,0.88
1685,ChemBertMLM-10M,ToxCast,0.7463242136608972,0.6026490066225165
1697,ChemBertMLM-10M,ToxCast,0.6901222032853466,0.7663432586149213
1709,ChemBertMLM-10M,ToxCast,0.6100985221674877,0.770326504481434
1721,ChemBertMLM-10M,ToxCast,0.6936058949370097,0.7039473684210527
1733,ChemBertMLM-10M,ToxCast,0.7205400981996727,0.8651315789473684
1745,ChemBertMLM-10M,ToxCast,0.728595041322314,0.993421052631579
1757,ChemBertMLM-10M,ToxCast,0.5982731495355109,0.5858695652173913
1769,ChemBertMLM-10M,ToxCast,0.6640366972477063,0.7974647075770671
1781,ChemBertMLM-10M,ToxCast,0.6175786339102922,0.7913832199546486
1793,ChemBertMLM-10M,ToxCast,0.7066401568798343,0.8351851851851851
1805,ChemBertMLM-10M,ToxCast,0.7831404958677686,0.7038520801232665
1817,ChemBertMLM-10M,ToxCast,0.715927750410509,0.9819078947368421
1829,ChemBertMLM-10M,ToxCast,0.648271186440678,0.7137188208616779
1841,ChemBertMLM-10M,ToxCast,0.7260587250377751,0.7890933422549348
1853,ChemBertMLM-10M,ToxCast,0.695702479338843,0.7251655629139073
1865,ChemBertMLM-10M,ToxCast,0.7486786786786787,0.6511888460102079
1877,ChemBertMLM-10M,ToxCast,0.5938842975206611,0.0
1889,ChemBertMLM-10M,ToxCast,0.6600316894434541,0.6691741357234314
1901,ChemBertMLM-10M,ToxCast,0.7278191911181602,0.7935201515448429
1913,ChemBertMLM-10M,ToxCast,0.5610859728506787,0.6175496688741722
1925,ChemBertMLM-10M,ToxCast,0.6634283246977547,0.7264604810996563
1937,ChemBertMLM-10M,ToxCast,0.6725146198830411,0.7754320502749411
1949,ChemBertMLM-10M,ToxCast,0.6199943598420756,0.0
1961,ChemBertMLM-10M,ToxCast,0.5953947368421052,0.9276315789473684
1973,ChemBertMLM-10M,ToxCast,0.7306224310041104,0.8106962481962482
1985,ChemBertMLM-10M,ToxCast,0.5561577641373905,0.6771582733812949
1997,ChemBertMLM-10M,ToxCast,0.6522895622895624,0.7475378787878788
2009,ChemBertMLM-10M,ToxCast,0.5902255639097744,0.6550675675675676
2021,ChemBertMLM-10M,ToxCast,0.7200000000000001,0.638063806380638
2033,ChemBertMLM-10M,ToxCast,0.1384364820846905,0.7836065573770492
2045,ChemBertMLM-10M,ToxCast,0.7046849708334606,0.8280842668921299
2057,ChemBertMLM-10M,ToxCast,0.6192857142857143,0.628395061728395
2069,ChemBertMLM-10M,ToxCast,0.5287231949636042,0.7475165562913908
2081,ChemBertMLM-10M,ToxCast,0.6217485248898861,0.6325431034482759
2093,ChemBertMLM-10M,ToxCast,0.4081818181818182,0.8426229508196721
2105,ChemBertMLM-10M,ToxCast,0.7799036002360811,0.7579365079365079
2117,ChemBertMLM-10M,ToxCast,0.6771019677996423,0.6844444444444444
2129,ChemBertMLM-10M,ToxCast,0.6590082644628099,0.777317880794702
2141,ChemBertMLM-10M,ToxCast,0.650940170940171,0.7402097902097902
2153,ChemBertMLM-10M,ToxCast,0.5603552077062011,0.741111111111111
