,embedder,dataset,metric_test,metric
366,ChemBertMTR-77M,Tox21,0.7066459943536817,0.8799114064230343
378,ChemBertMTR-77M,Tox21,0.8966930116472545,0.0
390,ChemBertMTR-77M,Tox21,0.8853472501003612,0.8877768746189798
402,ChemBertMTR-77M,Tox21,0.8441339390105993,0.858112695179905
414,ChemBertMTR-77M,Tox21,0.7113926651371434,0.0
426,ChemBertMTR-77M,Tox21,0.7785590116098591,0.8998717948717949
438,ChemBertMTR-77M,Tox21,0.7507517182130585,0.819614711033275
450,ChemBertMTR-77M,Tox21,0.783008658008658,0.8482588475499093
462,ChemBertMTR-77M,Tox21,0.8993036854658767,0.8319416234108177
474,ChemBertMTR-77M,Tox21,0.7206881640721522,0.8919546157813305
486,ChemBertMTR-77M,Tox21,0.9130285189999234,0.9289048030621064
498,ChemBertMTR-77M,Tox21,0.8611799446578284,0.8514979016911124
510,ChemBertMTR-77M,Tox21,0.7380740477038091,0.862267222957159
522,ChemBertMTR-77M,Tox21,0.8440842551016683,0.9103781047302643
534,ChemBertMTR-77M,Tox21,0.8804174573055028,0.8819182389937107
546,ChemBertMTR-77M,Tox21,0.8003972194637538,0.8292786421499292
558,ChemBertMTR-77M,Tox21,0.7010289073983342,0.7640482494851427
570,ChemBertMTR-77M,Tox21,0.8071708265629579,0.9132768510235225
582,ChemBertMTR-77M,Tox21,0.8424825174825175,0.8575174825174825
594,ChemBertMTR-77M,Tox21,0.8294127579981035,0.796934591914569
606,ChemBertMTR-77M,Tox21,0.8376520549917225,0.9087380011293055
618,ChemBertMTR-77M,Tox21,0.8027176816239315,0.7919342284491147
630,ChemBertMTR-77M,Tox21,0.9169971123423187,0.9267479420652287
642,ChemBertMTR-77M,Tox21,0.8865832614322693,0.9103009259259259
654,ChemBertMTR-77M,Tox21,0.7711473711473713,0.784678787878788
666,ChemBertMTR-77M,Tox21,0.8924136743304917,0.9549180327868853
678,ChemBertMTR-77M,Tox21,0.8793482594503003,0.9201991953684624
690,ChemBertMTR-77M,Tox21,0.8235936810873661,0.8598579782790309
702,ChemBertMTR-77M,Tox21,0.703958280068965,0.791670239830775
714,ChemBertMTR-77M,Tox21,0.8177339901477831,0.8680289484887186
726,ChemBertMTR-77M,Tox21,0.8533614259420711,0.8765806111696524
738,ChemBertMTR-77M,Tox21,0.7872505369767143,0.8250224088314385
750,ChemBertMTR-77M,Tox21,0.8148341359015516,0.8448615384615384
762,ChemBertMTR-77M,Tox21,0.8077009936766033,0.7719141323792487
774,ChemBertMTR-77M,Tox21,0.9133676059588215,0.9133612813071053
786,ChemBertMTR-77M,Tox21,0.8419858061801796,0.8941997851772288
798,ChemBertMTR-77M,Tox21,0.7921048012637424,0.8256240095087163
810,ChemBertMTR-77M,Tox21,0.8313433361510284,0.7747843783312336
822,ChemBertMTR-77M,Tox21,0.8915968899521532,0.8928137011628472
834,ChemBertMTR-77M,Tox21,0.8261722925047126,0.8510741138560687
846,ChemBertMTR-77M,Tox21,0.7209280590668007,0.7492496516239682
858,ChemBertMTR-77M,Tox21,0.8108391251022077,0.0
870,ChemBertMTR-77M,Tox21,0.8332143949434192,0.8584229390681004
882,ChemBertMTR-77M,Tox21,0.7780593639263585,0.7986244734515575
894,ChemBertMTR-77M,Tox21,0.8847679134745381,0.8955295079732861
906,ChemBertMTR-77M,Tox21,0.7873826291079812,0.8055931744312027
918,ChemBertMTR-77M,Tox21,0.904029617411,0.928177514177202
930,ChemBertMTR-77M,Tox21,0.8681036600343897,0.9026243849097868
942,ChemBertMTR-77M,Tox21,0.7676058003926857,0.8724091654654804
954,ChemBertMTR-77M,Tox21,0.8411436541143655,0.9072968490878938
966,ChemBertMTR-77M,Tox21,0.8683373806054718,0.9080601937744794
978,ChemBertMTR-77M,Tox21,0.7707389162561576,0.8133269349420716
990,ChemBertMTR-77M,Tox21,0.6899497487437185,0.7650286650286651
1002,ChemBertMTR-77M,Tox21,0.7677647876917727,0.8794193548387096
1014,ChemBertMTR-77M,Tox21,0.7500229231615625,0.8375300386584474
1026,ChemBertMTR-77M,Tox21,0.8096683231541546,0.8490590661133296
1038,ChemBertMTR-77M,Tox21,0.8424956574808694,0.8854185364686172
1050,ChemBertMTR-77M,Tox21,0.7166898646083766,0.8512910639448426
1062,ChemBertMTR-77M,Tox21,0.903197994374465,0.9171562564419707
1074,ChemBertMTR-77M,Tox21,0.8928387650085764,0.8531889931740614
