,embedder,dataset,metric_test,metric
1146,ChemBertMTR-77M,ToxCast,0.7062150255982855,0.768888888888889
1158,ChemBertMTR-77M,ToxCast,0.6301960784313726,0.7039911308203991
1170,ChemBertMTR-77M,ToxCast,0.6495546179090482,0.7783882783882784
1182,ChemBertMTR-77M,ToxCast,0.6292134831460674,0.6505747126436783
1194,ChemBertMTR-77M,ToxCast,0.622960372960373,0.0
1206,ChemBertMTR-77M,ToxCast,0.7249857061177817,0.8233766233766234
1218,ChemBertMTR-77M,ToxCast,0.7985209235209235,0.803931203931204
1230,ChemBertMTR-77M,ToxCast,0.764,0.0
1242,ChemBertMTR-77M,ToxCast,0.6305903398926656,0.8303571428571429
1254,ChemBertMTR-77M,ToxCast,0.75,0.0
1266,ChemBertMTR-77M,ToxCast,0.5881374722838137,0.8276353276353275
1278,ChemBertMTR-77M,ToxCast,0.7035423925667829,0.8134453781512605
1290,ChemBertMTR-77M,ToxCast,0.4020866773675762,0.7166666666666667
1302,ChemBertMTR-77M,ToxCast,0.4987541528239202,0.673170731707317
1314,ChemBertMTR-77M,ToxCast,0.53223654957759,0.0
1326,ChemBertMTR-77M,ToxCast,0.6838235294117647,0.9090909090909091
1338,ChemBertMTR-77M,ToxCast,0.7156896551724138,0.8752703677000722
1350,ChemBertMTR-77M,ToxCast,0.6140350877192983,0.5801435406698565
1362,ChemBertMTR-77M,ToxCast,0.7247980330172111,0.0
1374,ChemBertMTR-77M,ToxCast,0.7295508274231678,0.7825704225352113
1386,ChemBertMTR-77M,ToxCast,0.5445714285714286,0.0
1398,ChemBertMTR-77M,ToxCast,0.797752808988764,0.4772727272727273
1410,ChemBertMTR-77M,ToxCast,0.7313296903460839,0.7916666666666666
1422,ChemBertMTR-77M,ToxCast,0.692134107027724,0.7905405405405406
1434,ChemBertMTR-77M,ToxCast,0.6752722163681069,0.0
1446,ChemBertMTR-77M,ToxCast,0.5925925925925926,1.0
1458,ChemBertMTR-77M,ToxCast,0.772361359570662,0.7902621722846442
1470,ChemBertMTR-77M,ToxCast,0.5934873949579831,0.0
1482,ChemBertMTR-77M,ToxCast,0.6419620479770857,0.7156767283349561
1494,ChemBertMTR-77M,ToxCast,0.7172182656053624,0.801363193768257
1506,ChemBertMTR-77M,ToxCast,0.6666666666666666,0.6704545454545454
1518,ChemBertMTR-77M,ToxCast,0.6306122448979592,0.8840579710144928
1530,ChemBertMTR-77M,ToxCast,0.6578014184397163,0.838095238095238
1542,ChemBertMTR-77M,ToxCast,0.6422222222222222,0.8
1554,ChemBertMTR-77M,ToxCast,0.6568627450980392,0.849624060150376
1566,ChemBertMTR-77M,ToxCast,0.6612244897959183,0.8916666666666667
1578,ChemBertMTR-77M,ToxCast,0.6979591836734693,0.6666666666666666
1590,ChemBertMTR-77M,ToxCast,0.6060606060606061,0.6916666666666668
1602,ChemBertMTR-77M,ToxCast,0.7000000000000001,0.9583333333333334
1614,ChemBertMTR-77M,ToxCast,0.5177777777777777,0.8695652173913043
1626,ChemBertMTR-77M,ToxCast,0.64,0.39772727272727276
1638,ChemBertMTR-77M,ToxCast,0.7380952380952381,0.7681159420289855
1650,ChemBertMTR-77M,ToxCast,0.662962962962963,0.8522727272727273
1662,ChemBertMTR-77M,ToxCast,0.6403508771929824,0.7708333333333334
1674,ChemBertMTR-77M,ToxCast,0.5087719298245614,0.96
1686,ChemBertMTR-77M,ToxCast,0.7290154476084124,0.6705298013245033
1698,ChemBertMTR-77M,ToxCast,0.7157232476338978,0.8345265975242556
1710,ChemBertMTR-77M,ToxCast,0.5284729064039408,0.8673175416133162
1722,ChemBertMTR-77M,ToxCast,0.564297599239363,0.611842105263158
1734,ChemBertMTR-77M,ToxCast,0.49263502454991814,0.8059210526315789
1746,ChemBertMTR-77M,ToxCast,0.6426446280991737,0.9983552631578948
1758,ChemBertMTR-77M,ToxCast,0.544332484267306,0.5739130434782609
1770,ChemBertMTR-77M,ToxCast,0.7464220183486239,0.8053394794967829
1782,ChemBertMTR-77M,ToxCast,0.6555462497673553,0.7375283446712018
1794,ChemBertMTR-77M,ToxCast,0.7707266586774159,0.8151234567901235
1806,ChemBertMTR-77M,ToxCast,0.8315702479338843,0.7500770416024654
1818,ChemBertMTR-77M,ToxCast,0.6565407772304325,0.9769736842105263
1830,ChemBertMTR-77M,ToxCast,0.7473220338983051,0.0
1842,ChemBertMTR-77M,ToxCast,0.8065095765099849,0.858949481431917
1854,ChemBertMTR-77M,ToxCast,0.7515702479338843,0.7442052980132451
1866,ChemBertMTR-77M,ToxCast,0.7448948948948948,0.7401966886592805
1878,ChemBertMTR-77M,ToxCast,0.6328925619834711,0.9335548172757475
1890,ChemBertMTR-77M,ToxCast,0.6394335511982572,0.6856594110115237
1902,ChemBertMTR-77M,ToxCast,0.7688501189532118,0.8309491148997322
1914,ChemBertMTR-77M,ToxCast,0.7004721621089908,0.8567880794701986
1926,ChemBertMTR-77M,ToxCast,0.7114517367108041,0.6410080183276059
