,embedder,dataset,metric_test,metric
367,ChemGPT-1.2B,Tox21,0.6775427716326496,0.826002214839424
379,ChemGPT-1.2B,Tox21,0.8716098169717138,0.8786378719469075
391,ChemGPT-1.2B,Tox21,0.8351398367456175,0.8287695590327169
403,ChemGPT-1.2B,Tox21,0.7741552143829183,0.7991853360488799
415,ChemGPT-1.2B,Tox21,0.6499537718727528,0.7633878868848808
427,ChemGPT-1.2B,Tox21,0.7532128888061093,0.8294871794871795
439,ChemGPT-1.2B,Tox21,0.656786941580756,0.647985989492119
451,ChemGPT-1.2B,Tox21,0.7243867243867242,0.7639802631578947
463,ChemGPT-1.2B,Tox21,0.7751788874355621,0.8487173700443843
475,ChemGPT-1.2B,Tox21,0.6835927847788486,0.841464672511604
487,ChemGPT-1.2B,Tox21,0.8825662002701531,0.8629707371280405
499,ChemGPT-1.2B,Tox21,0.7682030314293975,0.748244484148419
511,ChemGPT-1.2B,Tox21,0.6761451287528182,0.8402360842576574
523,ChemGPT-1.2B,Tox21,0.8435366699521776,0.8763644992880874
535,ChemGPT-1.2B,Tox21,0.838191018342821,0.8507337526205451
547,ChemGPT-1.2B,Tox21,0.8547839541811967,0.7301744460160301
559,ChemGPT-1.2B,Tox21,0.6671762208067941,0.7230656075316269
571,ChemGPT-1.2B,Tox21,0.6647931594789697,0.8891227700889334
583,ChemGPT-1.2B,Tox21,0.7849067599067598,0.7374708624708625
595,ChemGPT-1.2B,Tox21,0.7525101640536714,0.7420146834477498
607,ChemGPT-1.2B,Tox21,0.75,0.8313099943534726
619,ChemGPT-1.2B,Tox21,0.7468282585470086,0.7394434714925082
631,ChemGPT-1.2B,Tox21,0.8702695607720685,0.8828800666875065
643,ChemGPT-1.2B,Tox21,0.8123705780845556,0.8586182336182335
655,ChemGPT-1.2B,Tox21,0.7547397047397049,0.7904484848484848
667,ChemGPT-1.2B,Tox21,0.8164126410057695,0.8957991803278689
679,ChemGPT-1.2B,Tox21,0.8250728862973762,0.8932881954665882
691,ChemGPT-1.2B,Tox21,0.7383324646164948,0.8524436090225563
703,ChemGPT-1.2B,Tox21,0.6597931048046097,0.7349569791041364
715,ChemGPT-1.2B,Tox21,0.8392212057236688,0.8731983214741835
727,ChemGPT-1.2B,Tox21,0.7751380412670735,0.8648577449947313
739,ChemGPT-1.2B,Tox21,0.6984253424560107,0.7827522762655094
751,ChemGPT-1.2B,Tox21,0.7204521134296415,0.7672615384615384
763,ChemGPT-1.2B,Tox21,0.7276422764227642,0.7761759444385984
775,ChemGPT-1.2B,Tox21,0.8639778467218789,0.8778888530581532
787,ChemGPT-1.2B,Tox21,0.7579079062455021,0.8934389545291801
799,ChemGPT-1.2B,Tox21,0.7353321312887939,0.7955130744849446
811,ChemGPT-1.2B,Tox21,0.8048746125669203,0.8679135575152631
823,ChemGPT-1.2B,Tox21,0.8461064593301436,0.8549846737702526
835,ChemGPT-1.2B,Tox21,0.773781068423405,0.8220193340494093
847,ChemGPT-1.2B,Tox21,0.6875160634594267,0.7147604244827954
859,ChemGPT-1.2B,Tox21,0.7522485690923958,0.8646910466582598
871,ChemGPT-1.2B,Tox21,0.8005912937098583,0.8473444118605409
883,ChemGPT-1.2B,Tox21,0.7334074952666514,0.7580867439804463
895,ChemGPT-1.2B,Tox21,0.7630914826498423,0.7751805915224206
907,ChemGPT-1.2B,Tox21,0.7264671361502347,0.7579225352112676
919,ChemGPT-1.2B,Tox21,0.8548673002117289,0.8746423182976952
931,ChemGPT-1.2B,Tox21,0.8172439204126749,0.8367960634226352
943,ChemGPT-1.2B,Tox21,0.7400468384074942,0.8550623788458671
955,ChemGPT-1.2B,Tox21,0.8263365876336588,0.9082365948037591
967,ChemGPT-1.2B,Tox21,0.8268350331876315,0.868068439497011
979,ChemGPT-1.2B,Tox21,0.7417733990147786,0.8272434359361075
991,ChemGPT-1.2B,Tox21,0.641106768409951,0.764045864045864
1003,ChemGPT-1.2B,Tox21,0.6869558288785547,0.8796129032258064
1015,ChemGPT-1.2B,Tox21,0.6996378140473134,0.8324104064361091
1027,ChemGPT-1.2B,Tox21,0.7037669284169796,0.7698170333829248
1039,ChemGPT-1.2B,Tox21,0.7397461778007293,0.7652725423323161
1051,ChemGPT-1.2B,Tox21,0.6882618414947911,0.8078950926051103
1063,ChemGPT-1.2B,Tox21,0.8458419958419959,0.868944547515976
1075,ChemGPT-1.2B,Tox21,0.8013109531977457,0.7682913822525597
