,embedder,dataset,metric_test,metric
1147,ChemGPT-1.2B,ToxCast,0.7441362066912728,0.7122222222222222
1159,ChemGPT-1.2B,ToxCast,0.5897254901960785,0.6463414634146343
1171,ChemGPT-1.2B,ToxCast,0.6875293014533521,0.7243589743589743
1183,ChemGPT-1.2B,ToxCast,0.43017656500802565,0.7333333333333334
1195,ChemGPT-1.2B,ToxCast,0.5465367965367965,0.7159722222222222
1207,ChemGPT-1.2B,ToxCast,0.692967409948542,0.7532467532467533
1219,ChemGPT-1.2B,ToxCast,0.7151875901875901,0.7636363636363637
1231,ChemGPT-1.2B,ToxCast,0.552,0.7265917602996255
1243,ChemGPT-1.2B,ToxCast,0.6319320214669051,0.699404761904762
1255,ChemGPT-1.2B,ToxCast,0.5056179775280899,0.8253968253968254
1267,ChemGPT-1.2B,ToxCast,0.5715077605321508,0.715099715099715
1279,ChemGPT-1.2B,ToxCast,0.5708478513356562,0.7630252100840336
1291,ChemGPT-1.2B,ToxCast,0.362760834670947,0.45
1303,ChemGPT-1.2B,ToxCast,0.5299003322259137,0.6341463414634146
1315,ChemGPT-1.2B,ToxCast,0.4873277012005336,0.0
1327,ChemGPT-1.2B,ToxCast,0.5098039215686274,0.8863636363636362
1339,ChemGPT-1.2B,ToxCast,0.6875862068965518,0.9048305695746215
1351,ChemGPT-1.2B,ToxCast,0.44600389863547757,0.6459330143540669
1363,ChemGPT-1.2B,ToxCast,0.721461187214612,0.8364583333333333
1375,ChemGPT-1.2B,ToxCast,0.680220646178093,0.0
1387,ChemGPT-1.2B,ToxCast,0.45714285714285713,0.6741573033707865
1399,ChemGPT-1.2B,ToxCast,0.6019261637239166,0.7698863636363636
1411,ChemGPT-1.2B,ToxCast,0.5072859744990892,0.7604166666666666
1423,ChemGPT-1.2B,ToxCast,0.6898774983881367,0.7905405405405406
1435,ChemGPT-1.2B,ToxCast,0.6589392342817,0.8305882352941176
1447,ChemGPT-1.2B,ToxCast,0.5333333333333333,0.96
1459,ChemGPT-1.2B,ToxCast,0.7213774597495528,0.6629213483146068
1471,ChemGPT-1.2B,ToxCast,0.5224089635854341,0.8068181818181819
1483,ChemGPT-1.2B,ToxCast,0.6641604010025062,0.7341772151898734
1495,ChemGPT-1.2B,ToxCast,0.6459991621281944,0.7633885102239533
1507,ChemGPT-1.2B,ToxCast,0.4339622641509434,0.6931818181818182
1519,ChemGPT-1.2B,ToxCast,0.4469387755102041,0.7681159420289855
1531,ChemGPT-1.2B,ToxCast,0.5230496453900709,0.7238095238095238
1543,ChemGPT-1.2B,ToxCast,0.5244444444444444,0.6761904761904762
1555,ChemGPT-1.2B,ToxCast,0.5049019607843137,0.6240601503759399
1567,ChemGPT-1.2B,ToxCast,0.5122448979591837,0.775
1579,ChemGPT-1.2B,ToxCast,0.6367346938775511,0.55
1591,ChemGPT-1.2B,ToxCast,0.5208333333333333,0.6416666666666667
1603,ChemGPT-1.2B,ToxCast,0.6355555555555555,0.9791666666666667
1615,ChemGPT-1.2B,ToxCast,0.62,0.8695652173913044
1627,ChemGPT-1.2B,ToxCast,0.6933333333333332,0.7045454545454546
1639,ChemGPT-1.2B,ToxCast,0.5773809523809523,0.5652173913043478
1651,ChemGPT-1.2B,ToxCast,0.562962962962963,0.6477272727272727
1663,ChemGPT-1.2B,ToxCast,0.3157894736842105,0.7916666666666666
1675,ChemGPT-1.2B,ToxCast,0.22807017543859653,0.92
1687,ChemGPT-1.2B,ToxCast,0.6451702959240647,0.0
1699,ChemGPT-1.2B,ToxCast,0.6599340029734924,0.7908330545332888
1711,ChemGPT-1.2B,ToxCast,0.5758128078817734,0.8039372599231754
1723,ChemGPT-1.2B,ToxCast,0.6183741383408605,0.9572368421052632
1735,ChemGPT-1.2B,ToxCast,0.5560556464811784,0.8453947368421052
1747,ChemGPT-1.2B,ToxCast,0.7246280991735538,0.9983552631578948
1759,ChemGPT-1.2B,ToxCast,0.6138372789931076,0.5396135265700484
1771,ChemGPT-1.2B,ToxCast,0.6782437745740498,0.7530010563718429
1783,ChemGPT-1.2B,ToxCast,0.5120044667783361,0.7366780045351474
1795,ChemGPT-1.2B,ToxCast,0.761602571086175,0.7804526748971193
1807,ChemGPT-1.2B,ToxCast,0.7581818181818183,0.8067796610169491
1819,ChemGPT-1.2B,ToxCast,0.4731800766283525,0.6661184210526315
1831,ChemGPT-1.2B,ToxCast,0.7249491525423729,0.7389455782312926
1843,ChemGPT-1.2B,ToxCast,0.7653857148691141,0.8139176982268317
1855,ChemGPT-1.2B,ToxCast,0.7014876033057851,0.0
1867,ChemGPT-1.2B,ToxCast,0.6447447447447447,0.672476036350056
1879,ChemGPT-1.2B,ToxCast,0.6763636363636364,0.0
1891,ChemGPT-1.2B,ToxCast,0.6625074272133096,0.5648207426376439
1903,ChemGPT-1.2B,ToxCast,0.748152260111023,0.8317982885884121
1915,ChemGPT-1.2B,ToxCast,0.559512099154043,0.8890728476821192
1927,ChemGPT-1.2B,ToxCast,0.672495682210708,0.6691867124856816
1939,ChemGPT-1.2B,ToxCast,0.6025278249386907,0.7344854673998429
1951,ChemGPT-1.2B,ToxCast,0.5196700507614214,0.7235494880546075
1963,ChemGPT-1.2B,ToxCast,0.5340695488721805,0.9013157894736842
1975,ChemGPT-1.2B,ToxCast,0.6836465061655901,0.7981601731601731
1987,ChemGPT-1.2B,ToxCast,0.5917461146663184,0.6812692702980473
1999,ChemGPT-1.2B,ToxCast,0.6553265993265993,0.7611111111111111
2011,ChemGPT-1.2B,ToxCast,0.41564849624060146,0.7597972972972973
2023,ChemGPT-1.2B,ToxCast,0.6295081967213115,0.8646864686468647
2035,ChemGPT-1.2B,ToxCast,0.9169381107491857,0.3967213114754098
2047,ChemGPT-1.2B,ToxCast,0.7408148306508261,0.8164588177270485
2059,ChemGPT-1.2B,ToxCast,0.650064935064935,0.0
2071,ChemGPT-1.2B,ToxCast,0.7042101121385009,0.7201986754966887
2083,ChemGPT-1.2B,ToxCast,0.5357766143106457,0.7795258620689655
2095,ChemGPT-1.2B,ToxCast,0.648595041322314,0.940983606557377
2107,ChemGPT-1.2B,ToxCast,0.6422388353334645,0.8472222222222222
2119,ChemGPT-1.2B,ToxCast,0.6533350370559673,0.0
2131,ChemGPT-1.2B,ToxCast,0.4223140495867768,0.669701986754967
2143,ChemGPT-1.2B,ToxCast,0.6098575498575498,0.7157342657342658
2155,ChemGPT-1.2B,ToxCast,0.4208308248043347,0.685
2167,ChemGPT-1.2B,ToxCast,0.6485507246376812,0.8953068592057762
2179,ChemGPT-1.2B,ToxCast,0.5112907059662467,0.7925636007827789
2191,ChemGPT-1.2B,ToxCast,0.5087755666113876,0.8651315789473685
2203,ChemGPT-1.2B,ToxCast,0.5980327868852459,0.674342105263158
2215,ChemGPT-1.2B,ToxCast,0.6831021565252607,0.8122252747252747
2227,ChemGPT-1.2B,ToxCast,0.5993465206640763,0.6918934240362812
2239,ChemGPT-1.2B,ToxCast,0.5808842320470227,0.7574750830564785
2251,ChemGPT-1.2B,ToxCast,0.4804241435562806,0.0
2263,ChemGPT-1.2B,ToxCast,0.5517355371900827,0.8694444444444445
2275,ChemGPT-1.2B,ToxCast,0.5152045852571246,0.0
2287,ChemGPT-1.2B,ToxCast,0.5860000000000001,0.7655919332752397
2299,ChemGPT-1.2B,ToxCast,0.6520206766917294,0.6237623762376238
2311,ChemGPT-1.2B,ToxCast,0.31219312602291327,0.7483552631578947
2323,ChemGPT-1.2B,ToxCast,0.6058201058201058,0.7875046763935653
2335,ChemGPT-1.2B,ToxCast,0.4932231404958678,0.5124172185430464
2347,ChemGPT-1.2B,ToxCast,0.5350115001277792,0.8767876787678768
2359,ChemGPT-1.2B,ToxCast,0.7325734216246272,0.7233896307934014
2371,ChemGPT-1.2B,ToxCast,0.7571841790857071,0.783105783105783
2383,ChemGPT-1.2B,ToxCast,0.5871532559512099,0.8304794520547946
2395,ChemGPT-1.2B,ToxCast,0.6713952317759575,0.7253643303261623
2407,ChemGPT-1.2B,ToxCast,0.5930807248764415,0.6950819672131148
2419,ChemGPT-1.2B,ToxCast,0.4470198675496689,0.0
2431,ChemGPT-1.2B,ToxCast,0.5481051703877792,0.7505972288580984
2443,ChemGPT-1.2B,ToxCast,0.3848684210526316,0.0
2455,ChemGPT-1.2B,ToxCast,0.5653157584103876,0.5772540216984662
2467,ChemGPT-1.2B,ToxCast,0.758754352539255,0.7884872824631861
2479,ChemGPT-1.2B,ToxCast,0.5887799564270152,0.9540983606557377
2491,ChemGPT-1.2B,ToxCast,0.5158888888888888,0.6955315870570108
2503,ChemGPT-1.2B,ToxCast,0.5996387718242023,0.8863787375415283
2515,ChemGPT-1.2B,ToxCast,0.5890621006900076,0.5637417218543046
2527,ChemGPT-1.2B,ToxCast,0.44320066334991703,0.0
2539,ChemGPT-1.2B,ToxCast,0.4958813838550247,0.6704318936877077
2551,ChemGPT-1.2B,ToxCast,0.6513157894736842,0.6603067714178825
2563,ChemGPT-1.2B,ToxCast,0.7879282218597063,0.6523652365236523
2575,ChemGPT-1.2B,ToxCast,0.8531810766721044,0.0
2587,ChemGPT-1.2B,ToxCast,0.6109580956128271,0.7114728275137832
2599,ChemGPT-1.2B,ToxCast,0.5574546952224053,0.7396082178690875
2611,ChemGPT-1.2B,ToxCast,0.4607843137254902,0.6564569536423841
2623,ChemGPT-1.2B,ToxCast,0.5623680675494147,0.7564020486555698
2635,ChemGPT-1.2B,ToxCast,0.7114754098360656,0.626258389261745
2647,ChemGPT-1.2B,ToxCast,0.614775203010497,0.7237644715548363
2659,ChemGPT-1.2B,ToxCast,0.6866549088771311,0.7463162086818
2671,ChemGPT-1.2B,ToxCast,0.6619007057678267,0.6383219954648526
2683,ChemGPT-1.2B,ToxCast,0.6341811266936058,0.0
2695,ChemGPT-1.2B,ToxCast,0.5835136730277395,0.7227618797584668
2707,ChemGPT-1.2B,ToxCast,0.6748019422438027,0.6086793864571641
2719,ChemGPT-1.2B,ToxCast,0.7308787864921754,0.7735607675906183
2731,ChemGPT-1.2B,ToxCast,0.616557734204793,0.736842105263158
2743,ChemGPT-1.2B,ToxCast,0.6380976418836085,0.8118534482758621
2755,ChemGPT-1.2B,ToxCast,0.6221122112211221,0.44774477447744776
2767,ChemGPT-1.2B,ToxCast,0.6884469310246253,0.703828125
2779,ChemGPT-1.2B,ToxCast,0.5953159041394336,0.8524590163934427
2791,ChemGPT-1.2B,ToxCast,0.7706666666666667,0.7843293795620438
2803,ChemGPT-1.2B,ToxCast,0.5877265238879736,1.0
2815,ChemGPT-1.2B,ToxCast,0.7989109575897141,0.9226190476190476
2827,ChemGPT-1.2B,ToxCast,0.6516843476642471,0.7401993355481727
2839,ChemGPT-1.2B,ToxCast,0.7753901774575451,0.7806575167571018
2851,ChemGPT-1.2B,ToxCast,0.665644642035873,0.0
2863,ChemGPT-1.2B,ToxCast,0.7161747572815534,0.7829887218045113
2875,ChemGPT-1.2B,ToxCast,0.6289380530973452,0.0
2887,ChemGPT-1.2B,ToxCast,0.7531063460480081,0.8049384825700615
2899,ChemGPT-1.2B,ToxCast,0.30119825708061,0.5291529152915291
2911,ChemGPT-1.2B,ToxCast,0.7525261615200679,0.8156448202959831
2923,ChemGPT-1.2B,ToxCast,0.7262576809711745,0.8051691729323309
2935,ChemGPT-1.2B,ToxCast,0.646228993031835,0.7216084275436794
2947,ChemGPT-1.2B,ToxCast,0.5426929392446633,0.8671904227459782
2959,ChemGPT-1.2B,ToxCast,0.595930964978584,0.6581901489117984
2971,ChemGPT-1.2B,ToxCast,0.5145214521452145,0.9873015873015873
2983,ChemGPT-1.2B,ToxCast,0.5135445949399438,0.698671096345515
2995,ChemGPT-1.2B,ToxCast,0.41823308270676696,0.9311475409836065
3007,ChemGPT-1.2B,ToxCast,0.5478723404255319,0.6067880794701987
3019,ChemGPT-1.2B,ToxCast,0.7154627710660668,0.7822802197802198
3031,ChemGPT-1.2B,ToxCast,0.49006622516556286,0.6043956043956044
3043,ChemGPT-1.2B,ToxCast,0.6902618657937807,0.0
3055,ChemGPT-1.2B,ToxCast,0.5771212121212121,0.892063492063492
3067,ChemGPT-1.2B,ToxCast,0.45049099836333883,0.0
3079,ChemGPT-1.2B,ToxCast,0.6813965966579795,0.7673930165397742
3091,ChemGPT-1.2B,ToxCast,0.47120200333889817,0.8227777777777777
3103,ChemGPT-1.2B,ToxCast,0.643747572815534,0.8068783068783069
3115,ChemGPT-1.2B,ToxCast,0.4328665568369028,0.564569536423841
3127,ChemGPT-1.2B,ToxCast,0.741661027743502,0.7938370684433677
3139,ChemGPT-1.2B,ToxCast,0.47733333333333333,0.6827033218785795
3151,ChemGPT-1.2B,ToxCast,0.5090016366612111,0.6820682068206821
3163,ChemGPT-1.2B,ToxCast,0.6228790366721402,0.6589658965896589
3175,ChemGPT-1.2B,ToxCast,0.5363455589924879,0.7497252747252747
3187,ChemGPT-1.2B,ToxCast,0.3338788870703765,0.898360655737705
3199,ChemGPT-1.2B,ToxCast,0.6187972027972028,0.0
3211,ChemGPT-1.2B,ToxCast,0.4762809917355372,0.7078189300411523
3223,ChemGPT-1.2B,ToxCast,0.6879910213243546,0.6737541528239203
3235,ChemGPT-1.2B,ToxCast,0.44991789819376027,0.592959295929593
3247,ChemGPT-1.2B,ToxCast,0.6618050361505858,0.0
3259,ChemGPT-1.2B,ToxCast,0.7118699105760103,0.0
3271,ChemGPT-1.2B,ToxCast,0.5752558699578566,0.7007700770077008
3283,ChemGPT-1.2B,ToxCast,0.6521274067031139,0.586839530332681
3295,ChemGPT-1.2B,ToxCast,0.6433193277310925,0.9253355704697986
3307,ChemGPT-1.2B,ToxCast,0.5762742940960763,0.7845394736842105
3319,ChemGPT-1.2B,ToxCast,0.684793388429752,0.7131756756756757
