,embedder,dataset,metric_test,metric
368,FRAD_QM9,Tox21,0.7657086438037055,0.8498781838316722
380,FRAD_QM9,Tox21,0.9274126455906821,0.8999619213403689
392,FRAD_QM9,Tox21,0.8519670814933762,0.882950619792725
404,FRAD_QM9,Tox21,0.7898146550897974,0.7655125594025798
416,FRAD_QM9,Tox21,0.6237544087936171,0.7731295925183701
428,FRAD_QM9,Tox21,0.782066803253244,0.8662179487179488
440,FRAD_QM9,Tox21,0.7894115120274914,0.8011008256192145
452,FRAD_QM9,Tox21,0.761016761016761,0.7780172413793103
464,FRAD_QM9,Tox21,0.8125336616142187,0.9143158053110659
476,FRAD_QM9,Tox21,0.7378768223375339,0.7983496647756575
488,FRAD_QM9,Tox21,0.8966281825827663,0.8893196690949501
500,FRAD_QM9,Tox21,0.7927456325114608,0.8445589396268749
512,FRAD_QM9,Tox21,0.7591966298801471,0.8460873104711508
524,FRAD_QM9,Tox21,0.8593253750958275,0.9471602594526183
536,FRAD_QM9,Tox21,0.8716002530044276,0.881577568134172
548,FRAD_QM9,Tox21,0.7581349160527471,0.8142857142857143
560,FRAD_QM9,Tox21,0.7092536338396213,0.7455722271256251
572,FRAD_QM9,Tox21,0.7864201806025413,0.8686523180550438
584,FRAD_QM9,Tox21,0.8554778554778555,0.7317404817404818
596,FRAD_QM9,Tox21,0.7720589190382793,0.7920718916857361
608,FRAD_QM9,Tox21,0.8430144677175556,0.8810700169395821
620,FRAD_QM9,Tox21,0.7429220085470086,0.7538431601478887
632,FRAD_QM9,Tox21,0.8838235903671056,0.8714702511201418
644,FRAD_QM9,Tox21,0.8379529767040552,0.8624465811965812
656,FRAD_QM9,Tox21,0.7820771820771821,0.8214303030303031
668,FRAD_QM9,Tox21,0.8682510979075174,0.8921106557377049
680,FRAD_QM9,Tox21,0.8404849119134834,0.9115641252085173
692,FRAD_QM9,Tox21,0.782857543803376,0.8616332497911446
704,FRAD_QM9,Tox21,0.7093863289214047,0.7664008232570105
716,FRAD_QM9,Tox21,0.8263429509734929,0.8190111293559569
728,FRAD_QM9,Tox21,0.7763247118085829,0.8478661749209694
740,FRAD_QM9,Tox21,0.7369454204065377,0.7913148086993442
752,FRAD_QM9,Tox21,0.8131353665061529,0.8171076923076922
764,FRAD_QM9,Tox21,0.7276906697638404,0.7005682416079133
776,FRAD_QM9,Tox21,0.898739775903182,0.8993066752660431
788,FRAD_QM9,Tox21,0.8017404590294614,0.8509667024704619
800,FRAD_QM9,Tox21,0.8005297506023519,0.808587559429477
812,FRAD_QM9,Tox21,0.887644406875176,0.7946506444422909
824,FRAD_QM9,Tox21,0.876883971291866,0.8843721111273293
836,FRAD_QM9,Tox21,0.7823898637750442,0.8238453276047261
848,FRAD_QM9,Tox21,0.6958495915013592,0.7533765676921427
860,FRAD_QM9,Tox21,0.7620988348323794,0.8457124842370745
872,FRAD_QM9,Tox21,0.7897594046284024,0.7375366568914956
884,FRAD_QM9,Tox21,0.7609972078768814,0.7633392272089032
896,FRAD_QM9,Tox21,0.8317260027039206,0.883194766253237
908,FRAD_QM9,Tox21,0.7341696009389671,0.7686890574214518
920,FRAD_QM9,Tox21,0.8724672558964007,0.8768274283335935
932,FRAD_QM9,Tox21,0.7839105870793418,0.85686167304538
944,FRAD_QM9,Tox21,0.7883519031060016,0.8107758834932154
956,FRAD_QM9,Tox21,0.8280799628079962,0.9497512437810947
968,FRAD_QM9,Tox21,0.8415023474178404,0.8809671054569014
980,FRAD_QM9,Tox21,0.7521182266009852,0.8081168163433193
992,FRAD_QM9,Tox21,0.7076617656182146,0.7362544362544363
1004,FRAD_QM9,Tox21,0.7496269575673287,0.880258064516129
1016,FRAD_QM9,Tox21,0.8080643682376673,0.7922892069794171
1028,FRAD_QM9,Tox21,0.7672255731320259,0.815650040456242
1040,FRAD_QM9,Tox21,0.838505234496033,0.8687847783162808
1052,FRAD_QM9,Tox21,0.7108974088602077,0.8210085169663377
1064,FRAD_QM9,Tox21,0.8688271982389628,0.8600803957946815
1076,FRAD_QM9,Tox21,0.8268316589071305,0.8170861774744027
