,embedder,dataset,metric_test,metric
1148,FRAD_QM9,ToxCast,0.7148470055959043,0.732
1160,FRAD_QM9,ToxCast,0.6055686274509804,0.6419068736141906
1172,FRAD_QM9,ToxCast,0.5595405532114393,0.6785714285714286
1184,FRAD_QM9,ToxCast,0.5112359550561798,0.5149425287356322
1196,FRAD_QM9,ToxCast,0.5578588078588078,0.69375
1208,FRAD_QM9,ToxCast,0.6282161234991425,0.7331168831168831
1220,FRAD_QM9,ToxCast,0.6991943241943241,0.7523341523341524
1232,FRAD_QM9,ToxCast,0.5234285714285714,0.0
1244,FRAD_QM9,ToxCast,0.6551878354203935,0.7395833333333334
1256,FRAD_QM9,ToxCast,0.5969101123595506,0.9444444444444444
1268,FRAD_QM9,ToxCast,0.5903547671840355,0.6723646723646722
1280,FRAD_QM9,ToxCast,0.5743321718931474,0.7445378151260504
1292,FRAD_QM9,ToxCast,0.4173354735152488,0.6055555555555556
1304,FRAD_QM9,ToxCast,0.5074750830564784,0.0
1316,FRAD_QM9,ToxCast,0.5366829702089817,0.6428571428571428
1328,FRAD_QM9,ToxCast,0.5857843137254901,0.9204545454545454
1340,FRAD_QM9,ToxCast,0.5472413793103448,0.768565248738284
1352,FRAD_QM9,ToxCast,0.4307992202729045,0.7177033492822966
1364,FRAD_QM9,ToxCast,0.6438356164383562,0.8375
1376,FRAD_QM9,ToxCast,0.679117415287628,0.7068661971830986
1388,FRAD_QM9,ToxCast,0.4057142857142857,0.7602996254681648
1400,FRAD_QM9,ToxCast,0.5666131621187801,0.7585227272727273
1412,FRAD_QM9,ToxCast,0.5765027322404371,0.0
1424,FRAD_QM9,ToxCast,0.627498388136686,0.7312312312312312
1436,FRAD_QM9,ToxCast,0.6622760800842993,0.8188235294117646
1448,FRAD_QM9,ToxCast,0.6592592592592593,1.0
1460,FRAD_QM9,ToxCast,0.5496422182468694,0.6928838951310862
1472,FRAD_QM9,ToxCast,0.5276610644257703,0.7897727272727273
1484,FRAD_QM9,ToxCast,0.6197636949516648,0.6640701071080818
1496,FRAD_QM9,ToxCast,0.6849602010892334,0.7185978578383642
1508,FRAD_QM9,ToxCast,0.679245283018868,0.7954545454545454
1520,FRAD_QM9,ToxCast,0.7918367346938775,0.7971014492753623
1532,FRAD_QM9,ToxCast,0.5921985815602837,0.8
1544,FRAD_QM9,ToxCast,0.5555555555555556,0.8095238095238095
1556,FRAD_QM9,ToxCast,0.7647058823529412,0.8195488721804511
1568,FRAD_QM9,ToxCast,0.6857142857142858,0.825
1580,FRAD_QM9,ToxCast,0.6551020408163265,0.0
1592,FRAD_QM9,ToxCast,0.6704545454545454,0.6416666666666667
1604,FRAD_QM9,ToxCast,0.6422222222222221,0.7916666666666666
1616,FRAD_QM9,ToxCast,0.5911111111111111,0.9130434782608696
1628,FRAD_QM9,ToxCast,0.62,0.0
1640,FRAD_QM9,ToxCast,0.5,0.7826086956521738
1652,FRAD_QM9,ToxCast,0.5777777777777778,0.6363636363636364
1664,FRAD_QM9,ToxCast,0.4912280701754386,0.5625
1676,FRAD_QM9,ToxCast,0.9736842105263158,0.96
1688,FRAD_QM9,ToxCast,0.6823003908431046,0.728476821192053
1700,FRAD_QM9,ToxCast,0.7087971860608479,0.7714285714285715
1712,FRAD_QM9,ToxCast,0.6600000000000001,0.66101152368758
1724,FRAD_QM9,ToxCast,0.5584739719515094,0.888157894736842
1736,FRAD_QM9,ToxCast,0.46153846153846145,0.9095394736842105
1748,FRAD_QM9,ToxCast,0.806611570247934,1.0
1760,FRAD_QM9,ToxCast,0.5218759364698831,0.5797101449275363
1772,FRAD_QM9,ToxCast,0.7144429882044562,0.8036108710266013
1784,FRAD_QM9,ToxCast,0.6699236925367579,0.0
1796,FRAD_QM9,ToxCast,0.765960344264081,0.739917695473251
1808,FRAD_QM9,ToxCast,0.8171900826446281,0.6909090909090909
1820,FRAD_QM9,ToxCast,0.5509031198686372,0.9144736842105263
1832,FRAD_QM9,ToxCast,0.751593220338983,0.5873015873015872
1844,FRAD_QM9,ToxCast,0.7458855719361293,0.776915356306457
1856,FRAD_QM9,ToxCast,0.8180165289256198,0.6663907284768211
1868,FRAD_QM9,ToxCast,0.7275375375375375,0.7501556081165193
1880,FRAD_QM9,ToxCast,0.6692561983471075,0.718936877076412
1892,FRAD_QM9,ToxCast,0.6538258401003498,0.6677336747759283
1904,FRAD_QM9,ToxCast,0.7328310864393339,0.7754915409236397
1916,FRAD_QM9,ToxCast,0.5573480228211686,0.7806291390728477
1928,FRAD_QM9,ToxCast,0.6024035693724813,0.6213058419243986
1940,FRAD_QM9,ToxCast,0.6451298497138905,0.7749410840534171
1952,FRAD_QM9,ToxCast,0.5650028200789622,0.7075347860330795
1964,FRAD_QM9,ToxCast,0.5848214285714286,0.8618421052631579
1976,FRAD_QM9,ToxCast,0.7802197802197802,0.7846320346320346
1988,FRAD_QM9,ToxCast,0.6051325584432545,0.6639260020554985
2000,FRAD_QM9,ToxCast,0.6623703703703703,0.771780303030303
2012,FRAD_QM9,ToxCast,0.5112781954887218,0.6979729729729729
2024,FRAD_QM9,ToxCast,0.4252459016393443,0.7777777777777778
2036,FRAD_QM9,ToxCast,0.14495114006514653,0.9934426229508196
2048,FRAD_QM9,ToxCast,0.7118162660721377,0.8348481645881772
2060,FRAD_QM9,ToxCast,0.6392857142857142,0.6856995884773662
