,embedder,dataset,metric_test,metric
361,GROVER,Tox21,0.7284676262322396,0.8376965669988926
373,GROVER,Tox21,0.8903494176372712,0.9162813468965891
385,GROVER,Tox21,0.8581894821356886,0.8784037797195692
397,GROVER,Tox21,0.7593007877637858,0.8433808553971487
409,GROVER,Tox21,0.6326678765880218,0.7798652861278111
421,GROVER,Tox21,0.7592816787732042,0.849423076923077
433,GROVER,Tox21,0.785706615120275,0.772746226336419
445,GROVER,Tox21,0.7621683871683871,0.7760322141560798
457,GROVER,Tox21,0.773601600369316,0.8089972165801549
469,GROVER,Tox21,0.7247884235235976,0.8328004125838061
481,GROVER,Tox21,0.8643117465657415,0.8847758982590443
493,GROVER,Tox21,0.8193945401230744,0.810196534674035
505,GROVER,Tox21,0.7776492227364424,0.8798717818255825
517,GROVER,Tox21,0.8236958347022961,0.9299952539155195
529,GROVER,Tox21,0.8524667931688804,0.8649895178197065
541,GROVER,Tox21,0.8117364495046303,0.803064592173503
553,GROVER,Tox21,0.6794643148783276,0.7512356575463371
565,GROVER,Tox21,0.7255001198689434,0.8401305057096249
577,GROVER,Tox21,0.8056235431235431,0.8188616938616939
589,GROVER,Tox21,0.7778456102978425,0.7637538138825325
601,GROVER,Tox21,0.8221406463686748,0.8357566346696781
613,GROVER,Tox21,0.7314202724358975,0.7826911850554583
625,GROVER,Tox21,0.8673059120991476,0.8758205689277899
637,GROVER,Tox21,0.8116156169111303,0.8415687321937323
649,GROVER,Tox21,0.7814167314167313,0.8482909090909091
661,GROVER,Tox21,0.8528373374666323,0.9466188524590164
673,GROVER,Tox21,0.840572126286412,0.8994210577960946
685,GROVER,Tox21,0.7481756946393489,0.8563074352548037
697,GROVER,Tox21,0.7045351741499006,0.745133350484521
709,GROVER,Tox21,0.7796739385409336,0.7580733442802409
721,GROVER,Tox21,0.8300639349026445,0.8439146469968388
733,GROVER,Tox21,0.7432611200409667,0.7582205029013539
745,GROVER,Tox21,0.7433921883360086,0.7984615384615384
757,GROVER,Tox21,0.7287875854949025,0.728612017257708
769,GROVER,Tox21,0.8622214815004743,0.8773245189723744
781,GROVER,Tox21,0.7928831611696061,0.865109201575367
793,GROVER,Tox21,0.7931100509007356,0.8929774167987321
805,GROVER,Tox21,0.838070583262891,0.8712084504312433
817,GROVER,Tox21,0.859366028708134,0.8606286186931348
829,GROVER,Tox21,0.7319030684622709,0.7807196562835661
841,GROVER,Tox21,0.6592755282444295,0.7270875763747455
853,GROVER,Tox21,0.7553020237121831,0.852017654476671
865,GROVER,Tox21,0.7903710877765318,0.6813294232649071
877,GROVER,Tox21,0.7659257840414324,0.7488558947423163
889,GROVER,Tox21,0.728391167192429,0.855458634319204
901,GROVER,Tox21,0.785299295774648,0.69386511375948
913,GROVER,Tox21,0.8681403564921957,0.861921856303002
925,GROVER,Tox21,0.7912060918693196,0.8331875341716786
937,GROVER,Tox21,0.8232796347550447,0.8373676624086683
949,GROVER,Tox21,0.8258716875871688,0.8988391376451077
961,GROVER,Tox21,0.8099983810911446,0.8782577966251435
973,GROVER,Tox21,0.7804597701149425,0.7754850209090287
985,GROVER,Tox21,0.674136112662076,0.751897351897352
997,GROVER,Tox21,0.7287220942529735,0.8665161290322582
1009,GROVER,Tox21,0.7203832752613242,0.7453766586563577
1021,GROVER,Tox21,0.7535563901217709,0.8129877587241928
1033,GROVER,Tox21,0.7331893651315274,0.8226530245916351
1045,GROVER,Tox21,0.6534227508541061,0.8145193997566581
1057,GROVER,Tox21,0.8591537238596063,0.8913626056483199
1069,GROVER,Tox21,0.8079269786816956,0.7587990614334471
