,embedder,dataset,metric_test,metric
1141,GROVER,ToxCast,0.6794261221573996,0.7235555555555556
1153,GROVER,ToxCast,0.6276862745098039,0.7767923133776792
1165,GROVER,ToxCast,0.6924519456165026,0.6877289377289377
1177,GROVER,ToxCast,0.5690208667736757,0.7632183908045977
1189,GROVER,ToxCast,0.6113053613053614,0.7770833333333333
1201,GROVER,ToxCast,0.7422813036020584,0.8357142857142857
1213,GROVER,ToxCast,0.7642496392496393,0.7371007371007372
1225,GROVER,ToxCast,0.7999999999999999,0.6591760299625469
1237,GROVER,ToxCast,0.6082289803220036,0.7961309523809524
1249,GROVER,ToxCast,0.6530898876404494,0.0
1261,GROVER,ToxCast,0.5964523281596452,0.6837606837606838
1273,GROVER,ToxCast,0.6428571428571428,0.0
1285,GROVER,ToxCast,0.391653290529695,0.7777777777777778
1297,GROVER,ToxCast,0.5614617940199336,0.7024390243902439
1309,GROVER,ToxCast,0.5335704757670076,0.6714285714285714
1321,GROVER,ToxCast,0.357843137254902,0.8863636363636365
1333,GROVER,ToxCast,0.6251724137931035,0.8010093727469358
1345,GROVER,ToxCast,0.6062378167641326,0.6076555023923446
1357,GROVER,ToxCast,0.7200561995082543,0.7864583333333334
1369,GROVER,ToxCast,0.6461780929866036,0.7068661971830986
1381,GROVER,ToxCast,0.6828571428571428,0.9513108614232211
1393,GROVER,ToxCast,0.7487961476725522,0.7954545454545454
1405,GROVER,ToxCast,0.7167577413479053,0.875
1417,GROVER,ToxCast,0.6460348162475822,0.7672672672672672
1429,GROVER,ToxCast,0.6440112399016509,0.8698039215686274
1441,GROVER,ToxCast,0.5888888888888889,0.92
1453,GROVER,ToxCast,0.565742397137746,0.9325842696629214
1465,GROVER,ToxCast,0.7006302521008403,0.7585227272727273
1477,GROVER,ToxCast,0.6414249910490512,0.7273612463485881
1489,GROVER,ToxCast,0.6219103477167993,0.7760467380720545
1501,GROVER,ToxCast,0.6855345911949686,0.7045454545454546
1513,GROVER,ToxCast,0.6346938775510205,0.8115942028985508
1525,GROVER,ToxCast,0.6826241134751774,0.780952380952381
1537,GROVER,ToxCast,0.5311111111111111,0.6857142857142857
1549,GROVER,ToxCast,0.6004901960784315,0.7518796992481204
1561,GROVER,ToxCast,0.5551020408163265,0.9333333333333333
1573,GROVER,ToxCast,0.6693877551020408,0.6249999999999999
1585,GROVER,ToxCast,0.5681818181818182,0.7583333333333334
1597,GROVER,ToxCast,0.5888888888888889,0.9791666666666667
1609,GROVER,ToxCast,0.4911111111111111,0.8695652173913043
1621,GROVER,ToxCast,0.611111111111111,0.0
1633,GROVER,ToxCast,0.8511904761904763,0.9130434782608695
1645,GROVER,ToxCast,0.674074074074074,0.8636363636363636
1657,GROVER,ToxCast,0.8771929824561404,0.6666666666666667
1669,GROVER,ToxCast,0.24561403508771934,0.92
1681,GROVER,ToxCast,0.7091010608598549,0.8369205298013245
1693,GROVER,ToxCast,0.7154150197628459,0.703445968551355
1705,GROVER,ToxCast,0.7298522167487684,0.7828104993597952
1717,GROVER,ToxCast,0.5887806037556453,0.8733552631578948
1729,GROVER,ToxCast,0.5666939443535188,0.6694078947368421
1741,GROVER,ToxCast,0.6639669421487604,0.9967105263157895
1753,GROVER,ToxCast,0.5947707521726101,0.5884057971014492
1765,GROVER,ToxCast,0.7073394495412844,0.7890137328339576
1777,GROVER,ToxCast,0.49981388423599477,0.703514739229025
1789,GROVER,ToxCast,0.7438174093038458,0.7412551440329218
1801,GROVER,ToxCast,0.6874380165289257,0.7069337442218798
1813,GROVER,ToxCast,0.5199781061850027,0.9835526315789473
1825,GROVER,ToxCast,0.6964745762711864,0.6785714285714286
1837,GROVER,ToxCast,0.7673153101645771,0.7297423887587822
1849,GROVER,ToxCast,0.5953719008264463,0.7218543046357616
1861,GROVER,ToxCast,0.7575675675675675,0.7021038217353417
1873,GROVER,ToxCast,0.6641322314049587,0.0
1885,GROVER,ToxCast,0.6005809731299927,0.6086747759282971
1897,GROVER,ToxCast,0.7586280729579699,0.7628845776993924
1909,GROVER,ToxCast,0.7184733425142632,0.767384105960265
1921,GROVER,ToxCast,0.6378574170024947,0.7060710194730814
1933,GROVER,ToxCast,0.6815380745771238,0.7498036135113905
1945,GROVER,ToxCast,0.6070924985899605,0.7660803360462063
1957,GROVER,ToxCast,0.6790413533834587,0.981907894736842
1969,GROVER,ToxCast,0.7432262394094455,0.778589466089466
1981,GROVER,ToxCast,0.5989943842235863,0.6104830421377183
1993,GROVER,ToxCast,0.6765252525252525,0.765530303030303
2005,GROVER,ToxCast,0.5636748120300752,0.6290540540540541
2017,GROVER,ToxCast,0.5908196721311475,0.8877887788778879
2029,GROVER,ToxCast,0.754071661237785,0.9704918032786886
2041,GROVER,ToxCast,0.7291405796658827,0.7908123722962023
2053,GROVER,ToxCast,0.674025974025974,0.6379629629629631
2065,GROVER,ToxCast,0.6956521739130435,0.47185430463576156
2077,GROVER,ToxCast,0.5788664505941993,0.7392241379310345
2089,GROVER,ToxCast,0.7112396694214875,0.8885245901639345
2101,GROVER,ToxCast,0.7574267165060005,0.8645124716553289
2113,GROVER,ToxCast,0.5024278047533861,0.75
2125,GROVER,ToxCast,0.6714049586776859,0.8253311258278146
2137,GROVER,ToxCast,0.5411396011396012,0.6702797202797202
2149,GROVER,ToxCast,0.46282360024081876,0.6272222222222222
2161,GROVER,ToxCast,0.5840301003344481,0.8616125150421179
2173,GROVER,ToxCast,0.5785595436177798,0.7223581213307241
2185,GROVER,ToxCast,0.5122305140961858,0.6842105263157895
2197,GROVER,ToxCast,0.5,0.6513157894736843
2209,GROVER,ToxCast,0.713830110357396,0.7395604395604396
2221,GROVER,ToxCast,0.5986400565171317,0.6590136054421768
2233,GROVER,ToxCast,0.6075900843342703,0.587375415282392
2245,GROVER,ToxCast,0.33278955954323003,0.6589658965896589
2257,GROVER,ToxCast,0.6801652892561982,0.9133333333333333
2269,GROVER,ToxCast,0.5973173061614392,0.6312797664771854
2281,GROVER,ToxCast,0.6569876543209876,0.6937632266899041
2293,GROVER,ToxCast,0.5347744360902256,0.9691969196919692
2305,GROVER,ToxCast,0.531505728314239,0.8108552631578948
2317,GROVER,ToxCast,0.7007375340708674,0.8069584736251403
2329,GROVER,ToxCast,0.6471074380165289,0.615066225165563
2341,GROVER,ToxCast,0.6238180424226936,0.0
2353,GROVER,ToxCast,0.7363392812010311,0.7348782403770621
2365,GROVER,ToxCast,0.747783437087342,0.7562437562437563
2377,GROVER,ToxCast,0.610564627188668,0.8740215264187867
2389,GROVER,ToxCast,0.6382418889854939,0.7199861207494795
2401,GROVER,ToxCast,0.5092668863261944,0.9606557377049181
2413,GROVER,ToxCast,0.48946417820590005,0.0
2425,GROVER,ToxCast,0.6133225616921267,0.8012422360248447
2437,GROVER,ToxCast,0.37969924812030076,0.26973684210526316
2449,GROVER,ToxCast,0.5579382254574071,0.7467265245043023
2461,GROVER,ToxCast,0.7417876617830629,0.7366307334601564
2473,GROVER,ToxCast,0.5827886710239651,0.9377049180327869
2485,GROVER,ToxCast,0.6315555555555556,0.6961479198767335
2497,GROVER,ToxCast,0.48126128838049365,0.0
2509,GROVER,ToxCast,0.47508305647840526,0.8625827814569536
2521,GROVER,ToxCast,0.5424267551133223,0.508888888888889
2533,GROVER,ToxCast,0.5743410214168039,0.7428571428571429
2545,GROVER,ToxCast,0.5775375939849623,0.7852600074822298
2557,GROVER,ToxCast,0.5717781402936377,0.7821782178217821
2569,GROVER,ToxCast,0.46818923327895595,0.9147540983606557
2581,GROVER,ToxCast,0.6552232933307103,0.629824100813862
2593,GROVER,ToxCast,0.6291186161449753,0.6426182513139035
2605,GROVER,ToxCast,0.46405228758169936,0.855132450331126
2617,GROVER,ToxCast,0.690750335828056,0.7123879641485275
2629,GROVER,ToxCast,0.6760655737704918,0.7562919463087249
2641,GROVER,ToxCast,0.7000066019673862,0.6748412797211503
2653,GROVER,ToxCast,0.7291666666666667,0.6855170582769149
2665,GROVER,ToxCast,0.7081406668289121,0.0
2677,GROVER,ToxCast,0.6753030663180413,0.6584362139917695
2689,GROVER,ToxCast,0.6372221129254377,0.6237857705434497
2701,GROVER,ToxCast,0.6028622540250447,0.6333707444818556
2713,GROVER,ToxCast,0.7292772490161985,0.7502013740819711
2725,GROVER,ToxCast,0.6797385620915032,0.7351973684210525
2737,GROVER,ToxCast,0.6058988966611379,0.7956896551724137
2749,GROVER,ToxCast,0.5482214888155482,0.6666666666666666
2761,GROVER,ToxCast,0.7182790868624168,0.7042968749999999
2773,GROVER,ToxCast,0.48529411764705876,0.6360655737704918
2785,GROVER,ToxCast,0.7815061728395062,0.7836450729927008
2797,GROVER,ToxCast,0.7689456342668863,1.0
2809,GROVER,ToxCast,0.7721406639800422,0.0
2821,GROVER,ToxCast,0.6084124325330356,0.0
2833,GROVER,ToxCast,0.7651424497797693,0.764570699010533
2845,GROVER,ToxCast,0.5637743369615208,0.5335570469798658
2857,GROVER,ToxCast,0.7458446601941748,0.7628759398496241
2869,GROVER,ToxCast,0.561646017699115,0.6521847379559318
2881,GROVER,ToxCast,0.7401888150374667,0.7568352699931646
2893,GROVER,ToxCast,0.793028322440087,0.6457645764576458
2905,GROVER,ToxCast,0.7543388270382845,0.7760042283298098
2917,GROVER,ToxCast,0.695259029824649,0.7614661654135337
2929,GROVER,ToxCast,0.5923623445825933,0.6822970195272354
2941,GROVER,ToxCast,0.651614668856048,0.8469884025439581
2953,GROVER,ToxCast,0.5863567649281934,0.6696449026345934
2965,GROVER,ToxCast,0.6204620462046204,0.9873015873015872
2977,GROVER,ToxCast,0.6500127779197546,0.8026578073089701
2989,GROVER,ToxCast,0.6275845864661653,1.0
3001,GROVER,ToxCast,0.5699672667757774,0.4362582781456954
3013,GROVER,ToxCast,0.7049486933225497,0.7449175824175824
3025,GROVER,ToxCast,0.4119506321493076,0.6445293836598184
3037,GROVER,ToxCast,0.7528641571194763,0.0
3049,GROVER,ToxCast,0.5201515151515151,0.9238095238095239
3061,GROVER,ToxCast,0.4664484451718494,0.8558855885588559
3073,GROVER,ToxCast,0.6884485666104554,0.8059858230506696
3085,GROVER,ToxCast,0.49400041736227046,0.8049999999999999
3097,GROVER,ToxCast,0.7082330097087379,0.8095238095238094
3109,GROVER,ToxCast,0.3766474464579901,0.7276490066225165
3121,GROVER,ToxCast,0.7303367432233412,0.7203210175651121
3133,GROVER,ToxCast,0.41055555555555556,0.7495990836197022
3145,GROVER,ToxCast,0.6432078559738134,0.8426842684268426
3157,GROVER,ToxCast,0.6595511767925561,0.7568756875687568
3169,GROVER,ToxCast,0.5963875386654884,0.7285714285714285
3181,GROVER,ToxCast,0.5941080196399345,0.9573770491803278
3193,GROVER,ToxCast,0.676979020979021,0.6653195488721805
3205,GROVER,ToxCast,0.42586776859504133,0.5626636737747849
3217,GROVER,ToxCast,0.6146384479717812,0.6970099667774087
3229,GROVER,ToxCast,0.6483305966064586,0.0
3241,GROVER,ToxCast,0.7120834372143272,0.6963139556207592
3253,GROVER,ToxCast,0.6891392316530949,0.6864496302698551
3265,GROVER,ToxCast,0.7278747742323901,0.4477447744774477
3277,GROVER,ToxCast,0.5689327311623484,0.7331213307240705
3289,GROVER,ToxCast,0.6714705882352942,0.8003355704697988
3301,GROVER,ToxCast,0.5374037403740374,0.950657894736842
3313,GROVER,ToxCast,0.704793388429752,0.6679054054054053
3325,GROVER,ToxCast,0.596694214876033,0.5619047619047619
3337,GROVER,ToxCast,0.7909203296703297,0.76
3349,GROVER,ToxCast,0.38298872180451127,0.0
3361,GROVER,ToxCast,0.4987644151565074,0.8153973509933774
3373,GROVER,ToxCast,0.6655769859431186,0.6678260869565218
3385,GROVER,ToxCast,0.5167757774140753,0.8371837183718371
3397,GROVER,ToxCast,0.7145298310711844,0.7499336811389159
3409,GROVER,ToxCast,0.6711958780021607,0.7131687242798354
3421,GROVER,ToxCast,0.6164444444444445,0.9407894736842105
3433,GROVER,ToxCast,0.6647741504550388,0.7378944079975008
3445,GROVER,ToxCast,0.6908296381980593,0.7828168304358781
3457,GROVER,ToxCast,0.6926582278481013,0.8326271186440678
3469,GROVER,ToxCast,0.7111320754716981,0.7296666666666666
3481,GROVER,ToxCast,0.7196405648267009,0.7205882352941176
3493,GROVER,ToxCast,0.6957301173402869,0.7494270435446906
3505,GROVER,ToxCast,0.6889211417513305,0.0
3517,GROVER,ToxCast,0.7318681318681318,0.8155659084680734
3529,GROVER,ToxCast,0.9215686274509803,0.7776000000000001
3541,GROVER,ToxCast,0.6266506602641057,0.7700534759358288
3553,GROVER,ToxCast,0.6241987179487178,0.7244822485207101
3565,GROVER,ToxCast,0.5703760162601625,0.7816492450638792
3577,GROVER,ToxCast,0.6070267896354853,0.7261864117446227
3589,GROVER,ToxCast,0.6695296078857722,0.7138394251796314
3601,GROVER,ToxCast,0.7650953178591369,0.793984962406015
3613,GROVER,ToxCast,0.6934362934362934,0.7567966903073285
3625,GROVER,ToxCast,0.7266407872167554,0.8049645390070922
3637,GROVER,ToxCast,0.6489652479500195,0.7766544117647058
3649,GROVER,ToxCast,0.5057692307692307,0.92578125
