,embedder,dataset,metric_test,metric
363,GraphCL,Tox21,0.7209083476034001,0.816655592469546
375,GraphCL,Tox21,0.874875207986689,0.88549203068052
387,GraphCL,Tox21,0.8516392345778135,0.8995630969315179
399,GraphCL,Tox21,0.7875912828474498,0.7446707399864222
411,GraphCL,Tox21,0.6663561962812041,0.7496103317746605
423,GraphCL,Tox21,0.8056745514372633,0.8196153846153845
435,GraphCL,Tox21,0.7171928694158075,0.8302059878242015
447,GraphCL,Tox21,0.7816419691419689,0.7800306261343013
459,GraphCL,Tox21,0.8090328537354775,0.8887384337621305
471,GraphCL,Tox21,0.7842074376081047,0.825219185146983
483,GraphCL,Tox21,0.8747801819710987,0.8914186936658847
495,GraphCL,Tox21,0.8390017759055054,0.7923712967964432
507,GraphCL,Tox21,0.7271715913136348,0.8267019436247075
519,GraphCL,Tox21,0.8273464023655679,0.9391710172441069
531,GraphCL,Tox21,0.875743200506009,0.8853249475890985
543,GraphCL,Tox21,0.7437703517239787,0.8335219236209335
555,GraphCL,Tox21,0.6979062551037073,0.7118564283612828
567,GraphCL,Tox21,0.7070003462880583,0.8832815871178236
579,GraphCL,Tox21,0.7662296037296037,0.7966200466200466
591,GraphCL,Tox21,0.7903347318378429,0.815574942791762
603,GraphCL,Tox21,0.8149247822644496,0.883399209486166
615,GraphCL,Tox21,0.723858173076923,0.8065285074917299
627,GraphCL,Tox21,0.8432271301656604,0.8817338751693238
639,GraphCL,Tox21,0.8637726488352027,0.8594640313390314
651,GraphCL,Tox21,0.8005439005439005,0.7679515151515152
663,GraphCL,Tox21,0.8698527512270731,0.9035860655737704
675,GraphCL,Tox21,0.8539408437367622,0.9051368854871945
687,GraphCL,Tox21,0.7492983440920573,0.8290517961570594
699,GraphCL,Tox21,0.6861204528618535,0.744790326730126
711,GraphCL,Tox21,0.7711939948393152,0.8027732165663201
723,GraphCL,Tox21,0.7657415479996125,0.7901738672286618
735,GraphCL,Tox21,0.7746404745309455,0.7924234561494552
747,GraphCL,Tox21,0.7961610486891385,0.824123076923077
759,GraphCL,Tox21,0.7702445476835721,0.7604440702935915
771,GraphCL,Tox21,0.8664906028050562,0.8716811781145866
783,GraphCL,Tox21,0.7945328328960042,0.8937522377372003
795,GraphCL,Tox21,0.7742496529495301,0.8388470681458003
807,GraphCL,Tox21,0.8209883065652296,0.7537552088380657
819,GraphCL,Tox21,0.8726794258373206,0.8866588819150489
831,GraphCL,Tox21,0.7399871742552324,0.7180988184747584
843,GraphCL,Tox21,0.6708957374393483,0.75246543037839
855,GraphCL,Tox21,0.7475981193785772,0.793064312736444
867,GraphCL,Tox21,0.8198338260780915,0.7124470511567287
879,GraphCL,Tox21,0.7606877905391964,0.7589708253159291
891,GraphCL,Tox21,0.8056782334384858,0.8610467493525963
903,GraphCL,Tox21,0.8124266431924881,0.79557150595883
915,GraphCL,Tox21,0.8535039883795361,0.8870506217158317
927,GraphCL,Tox21,0.8320805698845493,0.831164570803718
939,GraphCL,Tox21,0.7746552172781681,0.8543665192106963
951,GraphCL,Tox21,0.8695955369595536,0.9093421779988944
963,GraphCL,Tox21,0.862833090497005,0.8853550078039873
975,GraphCL,Tox21,0.7113300492610838,0.6963734832385001
987,GraphCL,Tox21,0.7030647062472858,0.7386022386022386
999,GraphCL,Tox21,0.7084256884987032,0.8696774193548387
1011,GraphCL,Tox21,0.746217678342197,0.8047225995193815
1023,GraphCL,Tox21,0.7747429915405334,0.8016861117636311
1035,GraphCL,Tox21,0.7993051969391108,0.8199006761203852
1047,GraphCL,Tox21,0.7291464563386619,0.806543193186427
1059,GraphCL,Tox21,0.842845786963434,0.8803081838796123
1071,GraphCL,Tox21,0.7959813771134525,0.7789569112627986
