,embedder,dataset,metric_test,metric
1143,GraphCL,ToxCast,0.6881176330515538,0.7033333333333333
1155,GraphCL,ToxCast,0.5847058823529412,0.7926829268292683
1167,GraphCL,ToxCast,0.6680731364275667,0.6318681318681318
1179,GraphCL,ToxCast,0.6396468699839486,0.7195402298850575
1191,GraphCL,ToxCast,0.6544289044289044,0.73125
1203,GraphCL,ToxCast,0.6602344196683821,0.7175324675324676
1215,GraphCL,ToxCast,0.7255291005291005,0.7164619164619165
1227,GraphCL,ToxCast,0.5685714285714285,0.5917602996254682
1239,GraphCL,ToxCast,0.6985688729874776,0.8095238095238095
1251,GraphCL,ToxCast,0.6144662921348315,0.7698412698412698
1263,GraphCL,ToxCast,0.5667960088691796,0.6324786324786325
1275,GraphCL,ToxCast,0.5650406504065041,0.7697478991596638
1287,GraphCL,ToxCast,0.42536115569823435,0.5111111111111111
1299,GraphCL,ToxCast,0.5377906976744187,0.8121951219512196
1311,GraphCL,ToxCast,0.6345042240995998,0.5821428571428572
1323,GraphCL,ToxCast,0.696078431372549,0.875
1335,GraphCL,ToxCast,0.6168965517241378,0.7974044700793079
1347,GraphCL,ToxCast,0.6253411306042885,0.6830143540669856
1359,GraphCL,ToxCast,0.6698278890059712,0.7145833333333333
1371,GraphCL,ToxCast,0.6353033884948779,0.7191901408450705
1383,GraphCL,ToxCast,0.6497142857142857,0.846441947565543
1395,GraphCL,ToxCast,0.7014446227929374,0.65625
1407,GraphCL,ToxCast,0.6083788706739526,0.8020833333333334
1419,GraphCL,ToxCast,0.5820438426821405,0.6854354354354354
1431,GraphCL,ToxCast,0.7060063224446786,0.7952941176470588
1443,GraphCL,ToxCast,0.6000000000000001,1.0
1455,GraphCL,ToxCast,0.7182468694096601,0.8389513108614233
1467,GraphCL,ToxCast,0.6379551820728291,0.6846590909090908
1479,GraphCL,ToxCast,0.5782312925170068,0.7458617332035055
1491,GraphCL,ToxCast,0.6497695852534562,0.7877312560856864
1503,GraphCL,ToxCast,0.6446540880503144,0.6590909090909092
1515,GraphCL,ToxCast,0.6836734693877551,0.7681159420289855
1527,GraphCL,ToxCast,0.7943262411347518,0.8476190476190477
1539,GraphCL,ToxCast,0.5355555555555556,0.8761904761904762
1551,GraphCL,ToxCast,0.659313725490196,0.8345864661654135
1563,GraphCL,ToxCast,0.6510204081632653,0.7666666666666667
1575,GraphCL,ToxCast,0.5571428571428572,0.675
1587,GraphCL,ToxCast,0.5454545454545454,0.6499999999999999
1599,GraphCL,ToxCast,0.7066666666666667,0.6875
1611,GraphCL,ToxCast,0.56,0.8985507246376812
1623,GraphCL,ToxCast,0.7066666666666667,0.5568181818181819
1635,GraphCL,ToxCast,0.7142857142857142,0.8840579710144927
1647,GraphCL,ToxCast,0.5074074074074074,0.7840909090909091
1659,GraphCL,ToxCast,0.8157894736842105,0.875
1671,GraphCL,ToxCast,0.6666666666666667,0.8
1683,GraphCL,ToxCast,0.6862088218872138,0.7284768211920529
1695,GraphCL,ToxCast,0.663578344272401,0.7371027099364336
1707,GraphCL,ToxCast,0.6588669950738916,0.778809218950064
1719,GraphCL,ToxCast,0.6420251961017353,0.8569078947368421
1731,GraphCL,ToxCast,0.5662847790507365,0.78125
1743,GraphCL,ToxCast,0.6456198347107439,0.9983552631578948
1755,GraphCL,ToxCast,0.5511687144141444,0.4990338164251208
1767,GraphCL,ToxCast,0.7134993446920053,0.7927590511860174
1779,GraphCL,ToxCast,0.48883305415968736,0.7091836734693877
1791,GraphCL,ToxCast,0.714593092929513,0.7656378600823045
1803,GraphCL,ToxCast,0.6867768595041323,0.6570107858243451
1815,GraphCL,ToxCast,0.4991789819376026,0.955592105263158
1827,GraphCL,ToxCast,0.7062372881355932,0.6536281179138321
1839,GraphCL,ToxCast,0.7283252337975252,0.7251254600200736
1851,GraphCL,ToxCast,0.6717355371900826,0.6589403973509933
1863,GraphCL,ToxCast,0.6410510510510511,0.6699863064857463
1875,GraphCL,ToxCast,0.5406611570247933,0.7335548172757476
1887,GraphCL,ToxCast,0.5393807354591668,0.6757362355953905
1899,GraphCL,ToxCast,0.7244329896907217,0.7773205304069501
1911,GraphCL,ToxCast,0.5630533149714736,0.6812913907284768
1923,GraphCL,ToxCast,0.7084772596430627,0.6561282932416953
1935,GraphCL,ToxCast,0.654090423190593,0.707482325216025
1947,GraphCL,ToxCast,0.5952481669486746,0.6392754003675506
1959,GraphCL,ToxCast,0.5829417293233083,0.993421052631579
1971,GraphCL,ToxCast,0.7426809831389984,0.7465728715728716
1983,GraphCL,ToxCast,0.5153454355491707,0.5975077081192189
1995,GraphCL,ToxCast,0.6507205387205387,0.7640782828282828
2007,GraphCL,ToxCast,0.3804041353383459,0.7175675675675676
2019,GraphCL,ToxCast,0.578688524590164,0.8734873487348734
2031,GraphCL,ToxCast,0.5570032573289903,1.0
2043,GraphCL,ToxCast,0.7101136120697554,0.8196998520397379
2055,GraphCL,ToxCast,0.6222402597402598,0.6781893004115226
2067,GraphCL,ToxCast,0.732933307102105,0.0
2079,GraphCL,ToxCast,0.6104462727499376,0.7512931034482758
2091,GraphCL,ToxCast,0.4996694214876033,0.862295081967213
2103,GraphCL,ToxCast,0.6735195750541019,0.8424036281179138
2115,GraphCL,ToxCast,0.6905187835420393,0.7061111111111111
2127,GraphCL,ToxCast,0.6094214876033058,0.7748344370860928
2139,GraphCL,ToxCast,0.5615384615384615,0.6846153846153846
2151,GraphCL,ToxCast,0.5656231186032511,0.6572222222222223
2163,GraphCL,ToxCast,0.6468784838350056,0.6949458483754513
2175,GraphCL,ToxCast,0.5858093653434752,0.7495107632093934
2187,GraphCL,ToxCast,0.5637783305693753,0.7236842105263158
2199,GraphCL,ToxCast,0.7760655737704918,0.0
2211,GraphCL,ToxCast,0.703806823934393,0.7667582417582417
2223,GraphCL,ToxCast,0.5800070646414694,0.7174036281179139
2235,GraphCL,ToxCast,0.6863020700230003,0.6963455149501662
2247,GraphCL,ToxCast,0.5611745513866231,0.46864686468646866
2259,GraphCL,ToxCast,0.7211570247933884,0.9227777777777777
2271,GraphCL,ToxCast,0.49705460913867217,0.5738208634198801
2283,GraphCL,ToxCast,0.636074074074074,0.6424747914851239
2295,GraphCL,ToxCast,0.4664003759398496,0.911991199119912
2307,GraphCL,ToxCast,0.5261865793780687,0.6036184210526315
2319,GraphCL,ToxCast,0.7934904601571269,0.8477366255144033
2331,GraphCL,ToxCast,0.6715702479338843,0.7698675496688742
2343,GraphCL,ToxCast,0.4947610529005878,0.5874587458745874
2355,GraphCL,ToxCast,0.7212758428954152,0.7901610369206598
2367,GraphCL,ToxCast,0.7237313714393511,0.7326007326007326
2379,GraphCL,ToxCast,0.5734802282116861,0.8255870841487281
2391,GraphCL,ToxCast,0.636114034686313,0.7317834836918806
2403,GraphCL,ToxCast,0.5918451400329489,0.9672131147540983
2415,GraphCL,ToxCast,0.42828115593016247,0.6990033222591362
2427,GraphCL,ToxCast,0.5437720329024678,0.7028189202102246
2439,GraphCL,ToxCast,0.5632048872180451,0.0
2451,GraphCL,ToxCast,0.5248868778280543,0.6745230078563411
2463,GraphCL,ToxCast,0.7281716050193813,0.7705911364757274
2475,GraphCL,ToxCast,0.44444444444444436,0.0
2487,GraphCL,ToxCast,0.5920000000000001,0.6184899845916795
2499,GraphCL,ToxCast,0.4692956050571945,0.0
2511,GraphCL,ToxCast,0.5408893432149245,0.0
2523,GraphCL,ToxCast,0.4635157545605307,0.685
2535,GraphCL,ToxCast,0.4682866556836903,0.8046511627906977
2547,GraphCL,ToxCast,0.6773966165413534,0.0
2559,GraphCL,ToxCast,0.5440456769983687,0.7557755775577558
2571,GraphCL,ToxCast,0.3026101141924959,0.0
2583,GraphCL,ToxCast,0.6349596694865237,0.6025203465476503
2595,GraphCL,ToxCast,0.6175864909390445,0.5427615862398472
2607,GraphCL,ToxCast,0.429193899782135,0.7541390728476821
2619,GraphCL,ToxCast,0.5912972558050278,0.6943021766965429
2631,GraphCL,ToxCast,0.5760655737704918,0.7126677852348994
2643,GraphCL,ToxCast,0.6020003961180431,0.7835179882982696
2655,GraphCL,ToxCast,0.7457378012933569,0.6796760918624719
2667,GraphCL,ToxCast,0.6261864200535411,0.6235827664399093
2679,GraphCL,ToxCast,0.556928927977181,0.7545828656939768
2691,GraphCL,ToxCast,0.5194766869958686,0.6545024940929378
2703,GraphCL,ToxCast,0.6229235880398671,0.7119341563786008
2715,GraphCL,ToxCast,0.7662498856044662,0.7152807391613362
2727,GraphCL,ToxCast,0.2649782135076253,0.6759868421052632
2739,GraphCL,ToxCast,0.6719189442561477,0.7390086206896552
2751,GraphCL,ToxCast,0.6837183718371836,0.6688668866886689
2763,GraphCL,ToxCast,0.6859966512843549,0.6912499999999999
2775,GraphCL,ToxCast,0.7096949891067538,0.9639344262295082
2787,GraphCL,ToxCast,0.7380246913580247,0.7120209854014599
2799,GraphCL,ToxCast,0.6478583196046128,1.0
2811,GraphCL,ToxCast,0.745946075609288,0.7627551020408163
2823,GraphCL,ToxCast,0.5713753954959985,0.7102990033222591
2835,GraphCL,ToxCast,0.7973368638134276,0.7959144589849984
2847,GraphCL,ToxCast,0.6031733864786141,0.7323825503355704
2859,GraphCL,ToxCast,0.6983495145631068,0.7577067669172932
2871,GraphCL,ToxCast,0.5719823008849557,0.6657537657164198
2883,GraphCL,ToxCast,0.7729245163202235,0.7779391660970608
2895,GraphCL,ToxCast,0.7810457516339869,0.0
2907,GraphCL,ToxCast,0.7647263003625331,0.7797040169133193
2919,GraphCL,ToxCast,0.6985812059749213,0.7520676691729322
2931,GraphCL,ToxCast,0.6878330373001776,0.7025950668037
2943,GraphCL,ToxCast,0.5128626163108922,0.7744107744107744
2955,GraphCL,ToxCast,0.5952380952380952,0.7528064146620848
2967,GraphCL,ToxCast,0.7594059405940594,0.946031746031746
2979,GraphCL,ToxCast,0.7186302070023,0.9083056478405316
2991,GraphCL,ToxCast,0.6726973684210527,0.9967213114754099
3003,GraphCL,ToxCast,0.8944353518821605,0.3551324503311258
3015,GraphCL,ToxCast,0.7352524895111964,0.7814560439560438
3027,GraphCL,ToxCast,0.41767007826610475,0.6172957477305304
3039,GraphCL,ToxCast,0.7704582651391162,0.5720198675496688
3051,GraphCL,ToxCast,0.633030303030303,0.9111111111111111
3063,GraphCL,ToxCast,0.338379705400982,0.45544554455445546
3075,GraphCL,ToxCast,0.7106009504829066,0.7526909950118141
3087,GraphCL,ToxCast,0.5324499165275458,0.7994444444444444
3099,GraphCL,ToxCast,0.7090291262135922,0.7661669606114051
3111,GraphCL,ToxCast,0.4476935749588138,0.5637417218543046
3123,GraphCL,ToxCast,0.7197687378099749,0.758403997577226
3135,GraphCL,ToxCast,0.5054444444444445,0.620389461626575
3147,GraphCL,ToxCast,0.32774140752864156,0.9625962596259626
3159,GraphCL,ToxCast,0.7391899288451013,0.7876787678767877
3171,GraphCL,ToxCast,0.6697967300044189,0.7196428571428571
3183,GraphCL,ToxCast,0.527823240589198,0.0
3195,GraphCL,ToxCast,0.6010349650349651,0.7428571428571429
3207,GraphCL,ToxCast,0.5341322314049588,0.6734006734006733
3219,GraphCL,ToxCast,0.6088664421997756,0.7501661129568107
3231,GraphCL,ToxCast,0.41461412151067323,0.539053905390539
3243,GraphCL,ToxCast,0.6884816753926701,0.7817715019255456
3255,GraphCL,ToxCast,0.6534195933456562,0.7043119177950639
3267,GraphCL,ToxCast,0.658639373871162,0.0
3279,GraphCL,ToxCast,0.6372712146422629,0.5579745596868885
3291,GraphCL,ToxCast,0.66390756302521,0.8066275167785235
3303,GraphCL,ToxCast,0.6054272093876054,0.7286184210526316
3315,GraphCL,ToxCast,0.6054545454545455,0.7087837837837838
3327,GraphCL,ToxCast,0.5484848484848485,0.0
3339,GraphCL,ToxCast,0.7801167582417582,0.7219753086419753
3351,GraphCL,ToxCast,0.4452537593984962,0.0
3363,GraphCL,ToxCast,0.5259472817133443,0.9172185430463576
3375,GraphCL,ToxCast,0.6591478696741854,0.0
3387,GraphCL,ToxCast,0.5413256955810147,0.7029702970297029
3399,GraphCL,ToxCast,0.692217556879211,0.7493147051021312
3411,GraphCL,ToxCast,0.6596027590791989,0.7299382716049383
3423,GraphCL,ToxCast,0.6372222222222222,0.9588815789473684
3435,GraphCL,ToxCast,0.616765467145362,0.73320837238363
3447,GraphCL,ToxCast,0.7097230255124992,0.762408667170572
3459,GraphCL,ToxCast,0.6870886075949367,0.8418079096045198
3471,GraphCL,ToxCast,0.7550943396226416,0.7376666666666666
3483,GraphCL,ToxCast,0.6961061189559264,0.7466299019607843
3495,GraphCL,ToxCast,0.6196219035202085,0.6562261268143621
3507,GraphCL,ToxCast,0.6347968069666183,0.7396376272027799
3519,GraphCL,ToxCast,0.7635302197802198,0.7996711427788435
3531,GraphCL,ToxCast,0.8549019607843137,0.8592
3543,GraphCL,ToxCast,0.66890756302521,0.8586707410236822
3555,GraphCL,ToxCast,0.6478810541310542,0.7525887573964497
3567,GraphCL,ToxCast,0.6501524390243903,0.8234610917537747
3579,GraphCL,ToxCast,0.7064558629776021,0.7036531239330829
3591,GraphCL,ToxCast,0.7175110531274915,0.7088409871915027
3603,GraphCL,ToxCast,0.7134083113982611,0.7473684210526317
3615,GraphCL,ToxCast,0.7350649350649351,0.7393617021276595
