,embedder,dataset,metric_test,metric
362,GraphLog,Tox21,0.7469955724225175,0.8383610188261352
374,GraphLog,Tox21,0.898169717138103,0.913942229233531
386,GraphLog,Tox21,0.8838117221999198,0.8711389961389961
398,GraphLog,Tox21,0.8066241159220287,0.8044806517311609
410,GraphLog,Tox21,0.7094202650412629,0.7465486528612781
422,GraphLog,Tox21,0.7906965915440491,0.8382051282051282
434,GraphLog,Tox21,0.7426170532646049,0.751563672754566
446,GraphLog,Tox21,0.780559718059718,0.7903244101633393
458,GraphLog,Tox21,0.8183234592598292,0.8676747160159481
470,GraphLog,Tox21,0.7828020756115642,0.8454873646209387
482,GraphLog,Tox21,0.8823877972322043,0.8977157673786887
494,GraphLog,Tox21,0.8335295089414777,0.7605019321062035
506,GraphLog,Tox21,0.7446451880859144,0.8611478579424036
518,GraphLog,Tox21,0.8667907859672179,0.9283341243474135
530,GraphLog,Tox21,0.8688678051865908,0.8763626834381553
542,GraphLog,Tox21,0.8236068451075033,0.8060820367751061
554,GraphLog,Tox21,0.7219075616527846,0.7396293027360988
566,GraphLog,Tox21,0.8013105671132895,0.8845971688680734
578,GraphLog,Tox21,0.7571969696969698,0.75495337995338
590,GraphLog,Tox21,0.8075519243508645,0.80561117467582
602,GraphLog,Tox21,0.8041819621392068,0.8522727272727272
614,GraphLog,Tox21,0.7332732371794872,0.7897937341895311
626,GraphLog,Tox21,0.9006245077856226,0.8854850474106492
638,GraphLog,Tox21,0.8482635893011216,0.8844818376068376
650,GraphLog,Tox21,0.7472675472675473,0.8164363636363636
662,GraphLog,Tox21,0.8661500043055197,0.9434426229508197
674,GraphLog,Tox21,0.8553238145074881,0.9013099793935826
686,GraphLog,Tox21,0.7751994707509724,0.8524436090225564
698,GraphLog,Tox21,0.7292563966409029,0.7559385987479632
710,GraphLog,Tox21,0.8229650480882008,0.8404184151310587
722,GraphLog,Tox21,0.792429526300494,0.7824025289778714
734,GraphLog,Tox21,0.7487162344774613,0.8135585224324197
746,GraphLog,Tox21,0.8072364901016588,0.7838769230769231
758,GraphLog,Tox21,0.7658568847593237,0.772492896979901
770,GraphLog,Tox21,0.881695341145099,0.8857895302590563
782,GraphLog,Tox21,0.8361842760819743,0.8740601503759399
794,GraphLog,Tox21,0.7788450798614991,0.8394413629160062
806,GraphLog,Tox21,0.8272048464356158,0.8357398972768678
818,GraphLog,Tox21,0.8524222488038279,0.8840072008952465
830,GraphLog,Tox21,0.7715851454556053,0.8168098818474758
842,GraphLog,Tox21,0.6995724199163532,0.748231321685068
854,GraphLog,Tox21,0.8263746933769419,0.8443883984867591
866,GraphLog,Tox21,0.8029105923131818,0.7466601498859563
878,GraphLog,Tox21,0.7741916472052984,0.7931119663008998
890,GraphLog,Tox21,0.808382154123479,0.8872154831675072
902,GraphLog,Tox21,0.7511590375586854,0.7915086673889491
914,GraphLog,Tox21,0.8540456201683982,0.8965454450861038
926,GraphLog,Tox21,0.8058216654384672,0.8301257517769273
938,GraphLog,Tox21,0.8001797837863411,0.8156966051990655
950,GraphLog,Tox21,0.851115760111576,0.8913211719181868
962,GraphLog,Tox21,0.8685510765743889,0.8866507642017847
974,GraphLog,Tox21,0.763727422003284,0.7838486323438678
986,GraphLog,Tox21,0.7165270798436627,0.7528255528255527
998,GraphLog,Tox21,0.7667362046735335,0.8200645161290322
1010,GraphLog,Tox21,0.7518338529249954,0.7955281579772228
1022,GraphLog,Tox21,0.8099970916631893,0.8195129590478427
1034,GraphLog,Tox21,0.8249847425003521,0.8404236223299228
1046,GraphLog,Tox21,0.7114176051288539,0.8670406921725025
1058,GraphLog,Tox21,0.8815886021768375,0.8672438672438673
1070,GraphLog,Tox21,0.7992893898554275,0.823432167235495
