,embedder,dataset,metric_test,metric
1142,GraphLog,ToxCast,0.7390760804857721,0.7442222222222221
1154,GraphLog,ToxCast,0.6163921568627451,0.6988174427198818
1166,GraphLog,ToxCast,0.6901078293483356,0.684981684981685
1178,GraphLog,ToxCast,0.6797752808988764,0.6114942528735633
1190,GraphLog,ToxCast,0.6500999000999,0.6958333333333333
1202,GraphLog,ToxCast,0.7285591766723842,0.7610389610389611
1214,GraphLog,ToxCast,0.7510221260221259,0.7616707616707616
1226,GraphLog,ToxCast,0.7342857142857143,0.7303370786516854
1238,GraphLog,ToxCast,0.7182468694096601,0.7351190476190477
1250,GraphLog,ToxCast,0.7591292134831461,0.6865079365079365
1262,GraphLog,ToxCast,0.5582039911308204,0.8034188034188035
1274,GraphLog,ToxCast,0.64198606271777,0.6974789915966386
1286,GraphLog,ToxCast,0.3723916532905297,0.9500000000000001
1298,GraphLog,ToxCast,0.6034053156146179,0.7390243902439024
1310,GraphLog,ToxCast,0.5513561582925746,0.6392857142857142
1322,GraphLog,ToxCast,0.7254901960784313,0.9772727272727273
1334,GraphLog,ToxCast,0.6648275862068965,0.8377793799567412
1346,GraphLog,ToxCast,0.6093567251461989,0.6244019138755981
1358,GraphLog,ToxCast,0.7414822620302073,0.7552083333333334
1370,GraphLog,ToxCast,0.7191489361702128,0.7808098591549296
1382,GraphLog,ToxCast,0.7114285714285714,0.9400749063670412
1394,GraphLog,ToxCast,0.617174959871589,0.6704545454545454
1406,GraphLog,ToxCast,0.6357012750455373,0.5625
1418,GraphLog,ToxCast,0.6934235976789168,0.7477477477477478
1430,GraphLog,ToxCast,0.7690551457674746,0.8470588235294118
1442,GraphLog,ToxCast,0.5296296296296297,0.88
1454,GraphLog,ToxCast,0.6829159212880144,0.846441947565543
1466,GraphLog,ToxCast,0.5927871148459384,0.7897727272727273
1478,GraphLog,ToxCast,0.7053347654851414,0.6445959104186952
1490,GraphLog,ToxCast,0.711772098868873,0.7458617332035054
1502,GraphLog,ToxCast,0.5628930817610063,0.8181818181818181
1514,GraphLog,ToxCast,0.7387755102040816,0.7681159420289855
1526,GraphLog,ToxCast,0.7021276595744681,0.838095238095238
1538,GraphLog,ToxCast,0.6644444444444445,0.8285714285714286
1550,GraphLog,ToxCast,0.7058823529411764,0.7969924812030076
1562,GraphLog,ToxCast,0.7265306122448979,0.8333333333333333
1574,GraphLog,ToxCast,0.6979591836734694,0.675
1586,GraphLog,ToxCast,0.5890151515151515,0.7583333333333333
1598,GraphLog,ToxCast,0.7511111111111111,0.8333333333333334
1610,GraphLog,ToxCast,0.6111111111111112,0.8405797101449274
1622,GraphLog,ToxCast,0.6555555555555556,0.6590909090909091
1634,GraphLog,ToxCast,0.8035714285714286,0.8405797101449275
1646,GraphLog,ToxCast,0.674074074074074,0.7272727272727272
1658,GraphLog,ToxCast,0.6842105263157895,0.6875
1670,GraphLog,ToxCast,0.33333333333333337,0.6799999999999999
1682,GraphLog,ToxCast,0.7464172715428996,0.8195364238410596
1694,GraphLog,ToxCast,0.6782463647242267,0.7533623285379725
1706,GraphLog,ToxCast,0.7324630541871922,0.839628681177977
1718,GraphLog,ToxCast,0.6638935108153078,0.8141447368421053
1730,GraphLog,ToxCast,0.7131751227495908,0.7730263157894737
1742,GraphLog,ToxCast,0.6662809917355371,1.0
1754,GraphLog,ToxCast,0.5668639496553791,0.557487922705314
1766,GraphLog,ToxCast,0.7354390563564875,0.7820992989532315
1778,GraphLog,ToxCast,0.5109808300763075,0.7953514739229025
1790,GraphLog,ToxCast,0.7573537422377166,0.7378600823045267
1802,GraphLog,ToxCast,0.814214876033058,0.7503852080123268
1814,GraphLog,ToxCast,0.6658456486042693,0.9325657894736842
1826,GraphLog,ToxCast,0.7082033898305086,0.6870748299319727
1838,GraphLog,ToxCast,0.7704598358312574,0.7609233857477418
1850,GraphLog,ToxCast,0.7226446280991736,0.701158940397351
1862,GraphLog,ToxCast,0.7636036036036036,0.7149259305365369
1874,GraphLog,ToxCast,0.7312396694214877,0.8710963455149503
1886,GraphLog,ToxCast,0.6635967518320459,0.6682138284250961
1898,GraphLog,ToxCast,0.733227597145123,0.8053432621333856
1910,GraphLog,ToxCast,0.5955144599645877,0.7036423841059603
1922,GraphLog,ToxCast,0.6731673383227786,0.6593356242840779
1934,GraphLog,ToxCast,0.661101678928504,0.7559897879025923
1946,GraphLog,ToxCast,0.6722363226170334,0.6967708059858231
1958,GraphLog,ToxCast,0.6069078947368421,0.9967105263157895
1970,GraphLog,ToxCast,0.7651413472024159,0.7561327561327561
1982,GraphLog,ToxCast,0.6503199686561316,0.6833247687564235
1994,GraphLog,ToxCast,0.67803367003367,0.0
2006,GraphLog,ToxCast,0.40366541353383456,0.7006756756756758
2018,GraphLog,ToxCast,0.6321311475409837,0.8701870187018702
2030,GraphLog,ToxCast,0.17263843648208466,0.8163934426229509
2042,GraphLog,ToxCast,0.7311333720184466,0.8356231945325161
2054,GraphLog,ToxCast,0.6561363636363637,0.7233539094650205
2066,GraphLog,ToxCast,0.6959472752311628,0.6332781456953642
2078,GraphLog,ToxCast,0.6298927948142609,0.775646551724138
2090,GraphLog,ToxCast,0.6487603305785123,0.0
2102,GraphLog,ToxCast,0.7074562266378123,0.729875283446712
2114,GraphLog,ToxCast,0.675057500638896,0.8055555555555556
2126,GraphLog,ToxCast,0.7659504132231405,0.8211920529801325
2138,GraphLog,ToxCast,0.5615954415954416,0.7253496503496504
2150,GraphLog,ToxCast,0.4875075255869958,0.6683333333333333
2162,GraphLog,ToxCast,0.7070791527313267,0.851985559566787
2174,GraphLog,ToxCast,0.632279534109817,0.703522504892368
2186,GraphLog,ToxCast,0.6841487009397457,0.7319078947368421
2198,GraphLog,ToxCast,0.43442622950819676,0.3421052631578947
2210,GraphLog,ToxCast,0.7416219499848132,0.7527472527472527
2222,GraphLog,ToxCast,0.5471564818085483,0.7536848072562359
2234,GraphLog,ToxCast,0.6457960644007156,0.5501661129568106
2246,GraphLog,ToxCast,0.34257748776508967,0.6281628162816282
2258,GraphLog,ToxCast,0.703801652892562,0.9538888888888889
2270,GraphLog,ToxCast,0.5262298996975003,0.6595483177139345
2282,GraphLog,ToxCast,0.6604938271604939,0.6950080916220591
2294,GraphLog,ToxCast,0.6318139097744362,0.8800880088008801
2306,GraphLog,ToxCast,0.5736497545008183,0.7976973684210527
2318,GraphLog,ToxCast,0.7297578964245631,0.9296670407781519
2330,GraphLog,ToxCast,0.5892561983471075,0.6705298013245033
2342,GraphLog,ToxCast,0.6709685663174035,0.7326732673267327
2354,GraphLog,ToxCast,0.7467775362685134,0.7704241948153967
2366,GraphLog,ToxCast,0.7054172168773187,0.7777777777777778
2378,GraphLog,ToxCast,0.5889238638599252,0.7891389432485323
2390,GraphLog,ToxCast,0.6754907792980369,0.7418459403192228
2402,GraphLog,ToxCast,0.6208813838550247,0.8655737704918033
2414,GraphLog,ToxCast,0.5037627934978928,0.6146179401993356
2426,GraphLog,ToxCast,0.4965481786133961,0.7821309125656952
2438,GraphLog,ToxCast,0.6275845864661653,0.5674342105263158
2450,GraphLog,ToxCast,0.5722014558331694,0.8166853722409277
2462,GraphLog,ToxCast,0.7461730503909073,0.776580004227436
2474,GraphLog,ToxCast,0.5936819172113289,0.7442622950819673
2486,GraphLog,ToxCast,0.6125555555555556,0.6909090909090909
2498,GraphLog,ToxCast,0.671207104154124,0.7043189368770764
2510,GraphLog,ToxCast,0.5517505750063889,0.6846026490066226
2522,GraphLog,ToxCast,0.5382808181315644,0.586111111111111
2534,GraphLog,ToxCast,0.5263591433278418,0.691029900332226
2546,GraphLog,ToxCast,0.7152255639097744,0.5495697717919941
2558,GraphLog,ToxCast,0.5938009787928222,0.66996699669967
2570,GraphLog,ToxCast,0.49429037520391517,0.478688524590164
2582,GraphLog,ToxCast,0.6993901239425536,0.7075347860330796
2594,GraphLog,ToxCast,0.5862850082372323,0.0
2606,GraphLog,ToxCast,0.3398692810457516,0.0
2618,GraphLog,ToxCast,0.6452216465169832,0.7479193341869398
2630,GraphLog,ToxCast,0.6439344262295081,0.7130872483221475
2642,GraphLog,ToxCast,0.6943949296890474,0.7227685796091124
2654,GraphLog,ToxCast,0.7397854203409758,0.7471127041019514
2666,GraphLog,ToxCast,0.7656364078851301,0.6669501133786848
2678,GraphLog,ToxCast,0.6244354647016876,0.7235316124205013
2690,GraphLog,ToxCast,0.5874483572693291,0.7067471777369387
2702,GraphLog,ToxCast,0.8074367492972144,0.6083052749719416
2714,GraphLog,ToxCast,0.7795540862084746,0.7272684198057332
2726,GraphLog,ToxCast,0.5435729847494553,0.48848684210526316
2738,GraphLog,ToxCast,0.633229970433403,0.7109913793103448
2750,GraphLog,ToxCast,0.6321965529886322,0.9317931793179317
2762,GraphLog,ToxCast,0.7500918854902601,0.7174218750000001
2774,GraphLog,ToxCast,0.5468409586056645,0.9573770491803278
2786,GraphLog,ToxCast,0.729037037037037,0.8015510948905109
2798,GraphLog,ToxCast,0.6188220757825371,0.6622950819672131
2810,GraphLog,ToxCast,0.7686864325465361,0.7023809523809523
2822,GraphLog,ToxCast,0.706495440163782,0.717607973421927
2834,GraphLog,ToxCast,0.7730732998956131,0.7827002872646026
2846,GraphLog,ToxCast,0.6021002606162809,0.5113255033557047
2858,GraphLog,ToxCast,0.7561165048543689,0.7812030075187969
2870,GraphLog,ToxCast,0.5985663716814159,0.6796962529565542
2882,GraphLog,ToxCast,0.7723424071800516,0.8013926862611074
2894,GraphLog,ToxCast,0.13671023965141613,0.6435643564356436
2906,GraphLog,ToxCast,0.7594875684570488,0.7764799154334038
2918,GraphLog,ToxCast,0.6954838387370735,0.7800751879699247
2930,GraphLog,ToxCast,0.7137587102063123,0.6644398766700925
2942,GraphLog,ToxCast,0.7359058565955118,0.882154882154882
2954,GraphLog,ToxCast,0.6837364575459814,0.7512027491408935
2966,GraphLog,ToxCast,0.8544554455445544,0.9365079365079365
2978,GraphLog,ToxCast,0.6261180679785331,0.6671096345514951
2990,GraphLog,ToxCast,0.6134868421052633,1.0
3002,GraphLog,ToxCast,0.8543371522094927,0.5736754966887417
3014,GraphLog,ToxCast,0.7448819693676388,0.7942307692307692
3026,GraphLog,ToxCast,0.4497290788681517,0.6994744386048735
3038,GraphLog,ToxCast,0.6047463175122749,0.48096026490066224
3050,GraphLog,ToxCast,0.6010606060606061,0.8571428571428572
3062,GraphLog,ToxCast,0.21235679214402614,0.8382838283828382
3074,GraphLog,ToxCast,0.683542848382646,0.7547912838015227
3086,GraphLog,ToxCast,0.4738105175292153,0.7088888888888889
3098,GraphLog,ToxCast,0.6817766990291263,0.7983539094650206
3110,GraphLog,ToxCast,0.38406095551894565,0.7433774834437086
3122,GraphLog,ToxCast,0.7745392668073081,0.7650666262870988
3134,GraphLog,ToxCast,0.5275555555555556,0.7060710194730814
3146,GraphLog,ToxCast,0.5949263502454992,0.8261826182618262
3158,GraphLog,ToxCast,0.7805145046524357,0.6732673267326732
3170,GraphLog,ToxCast,0.6849867432611577,0.7913461538461539
3182,GraphLog,ToxCast,0.46522094926350244,0.9770491803278688
3194,GraphLog,ToxCast,0.6659860139860141,0.7224624060150375
3206,GraphLog,ToxCast,0.617603305785124,0.7033295922184811
3218,GraphLog,ToxCast,0.6107904441237775,0.7109634551495017
3230,GraphLog,ToxCast,0.5571975916803503,0.704070407040704
3242,GraphLog,ToxCast,0.7525970248483338,0.7621492756280946
3254,GraphLog,ToxCast,0.7580306739271618,0.7304331124555844
3266,GraphLog,ToxCast,0.7689644792293799,0.38943894389438943
3278,GraphLog,ToxCast,0.5433800808176849,0.6323385518590998
3290,GraphLog,ToxCast,0.7415546218487394,0.8485738255033557
3302,GraphLog,ToxCast,0.6076274294096076,0.518092105263158
3314,GraphLog,ToxCast,0.7487603305785124,0.6510135135135134
3326,GraphLog,ToxCast,0.5195592286501377,0.8920634920634921
3338,GraphLog,ToxCast,0.7962225274725274,0.7662551440329217
3350,GraphLog,ToxCast,0.5761278195488722,0.0
3362,GraphLog,ToxCast,0.44028006589785834,0.8940397350993379
3374,GraphLog,ToxCast,0.7073117576550072,0.6615942028985508
3386,GraphLog,ToxCast,0.5450081833060556,0.8646864686468647
3398,GraphLog,ToxCast,0.721145395957426,0.7639932796887435
3410,GraphLog,ToxCast,0.6991190891714452,0.7426954732510288
3422,GraphLog,ToxCast,0.6878888888888889,0.8848684210526316
3434,GraphLog,ToxCast,0.6655255907155381,0.6835363948766011
3446,GraphLog,ToxCast,0.6731572521046205,0.764424288233812
3458,GraphLog,ToxCast,0.7086919831223628,0.7902542372881356
3470,GraphLog,ToxCast,0.7217924528301887,0.7196666666666667
3482,GraphLog,ToxCast,0.664270432178006,0.7138480392156862
3494,GraphLog,ToxCast,0.6691655801825294,0.6806722689075629
3506,GraphLog,ToxCast,0.6730164489598451,0.7622238768925291
3518,GraphLog,ToxCast,0.7256868131868132,0.8106330501507263
3530,GraphLog,ToxCast,0.9070028011204482,0.0
3542,GraphLog,ToxCast,0.678031212484994,0.8212375859434684
3554,GraphLog,ToxCast,0.6838497150997151,0.7348372781065089
3566,GraphLog,ToxCast,0.7197662601626017,0.8211382113821138
3578,GraphLog,ToxCast,0.6996925779534475,0.7524752475247525
3590,GraphLog,ToxCast,0.7012031601072697,0.6929084661043424
3602,GraphLog,ToxCast,0.7072664911860891,0.7446616541353382
3614,GraphLog,ToxCast,0.6255528255528257,0.70774231678487
3626,GraphLog,ToxCast,0.7071409226324817,0.7039007092198583
3638,GraphLog,ToxCast,0.6631784459195627,0.7392769607843137
3650,GraphLog,ToxCast,0.45,0.9140625
3662,GraphLog,ToxCast,0.6975,0.7507681802663025
3674,GraphLog,ToxCast,0.7287300659597562,0.7550236406619385
3686,GraphLog,ToxCast,0.7066745597158502,0.6825396825396826
3698,GraphLog,ToxCast,0.681598594642073,0.8021449704142012
3710,GraphLog,ToxCast,0.6607003891050583,0.796875
3722,GraphLog,ToxCast,0.6797118380062306,0.746641674476726
3734,GraphLog,ToxCast,0.7222685571309425,0.7597204019222368
3746,GraphLog,ToxCast,0.760119811724433,0.7307422969187675
3758,GraphLog,ToxCast,0.7242063492063492,0.7967914438502675
3770,GraphLog,ToxCast,0.6696611505122143,0.6562318840579711
3782,GraphLog,ToxCast,0.7145784081954294,0.7119938884644768
3794,GraphLog,ToxCast,0.7083333333333334,0.6863259065093927
3806,GraphLog,ToxCast,0.6918214654282765,0.7275362318840579
3818,GraphLog,ToxCast,0.6971484759095379,0.662828947368421
3830,GraphLog,ToxCast,0.7638266068759342,0.7710144927536231
3842,GraphLog,ToxCast,0.7551724137931034,0.7888418079096045
3854,GraphLog,ToxCast,0.6411945542380325,0.7328000000000001
3866,GraphLog,ToxCast,0.7176630434782609,0.7118840579710145
3878,GraphLog,ToxCast,0.6725038402457758,0.6611952861952861
3890,GraphLog,ToxCast,0.6233766233766234,0.731907894736842
3902,GraphLog,ToxCast,0.5769648678015212,0.73046875
3914,GraphLog,ToxCast,0.6617647058823529,0.0
3926,GraphLog,ToxCast,0.6987603305785124,0.7052341597796143
3938,GraphLog,ToxCast,0.8043184885290149,0.8266666666666667
3950,GraphLog,ToxCast,0.715964590964591,0.7494270435446906
3962,GraphLog,ToxCast,0.5735677083333333,0.0
3974,GraphLog,ToxCast,0.6295149638802889,0.5634920634920635
3986,GraphLog,ToxCast,0.682110682110682,0.6976744186046512
3998,GraphLog,ToxCast,0.6654538839366928,0.7708333333333334
4010,GraphLog,ToxCast,0.6585489599188229,0.7286352040816326
4022,GraphLog,ToxCast,0.8381782945736435,0.9224806201550387
4034,GraphLog,ToxCast,0.8272727272727274,0.7303284950343774
4046,GraphLog,ToxCast,0.8072916666666667,0.664
4058,GraphLog,ToxCast,0.7232055063913471,0.6681034482758621
4070,GraphLog,ToxCast,0.715,0.8293963254593176
4082,GraphLog,ToxCast,0.7604166666666666,0.7392751479289941
4094,GraphLog,ToxCast,0.642060480625503,0.7021696252465484
4106,GraphLog,ToxCast,0.6850638151086582,0.7546296296296295
4118,GraphLog,ToxCast,0.7742296918767507,0.916010498687664
4130,GraphLog,ToxCast,0.5932132383745288,0.6327683615819208
4142,GraphLog,ToxCast,0.5605314960629921,0.8671875
4154,GraphLog,ToxCast,0.7103230890464933,0.7652264445601249
4166,GraphLog,ToxCast,0.6745169082125604,0.7751572327044025
4178,GraphLog,ToxCast,0.6703660436137072,0.7849326599326599
4190,GraphLog,ToxCast,0.3919270833333333,0.0
4202,GraphLog,ToxCast,0.6981381381381381,0.7264254385964912
4214,GraphLog,ToxCast,0.5555555555555556,0.6349206349206349
4226,GraphLog,ToxCast,0.7263157894736841,0.768813775510204
4238,GraphLog,ToxCast,0.7327533577533577,0.7675438596491229
4250,GraphLog,ToxCast,0.6711956521739131,0.7708333333333333
4262,GraphLog,ToxCast,0.6842004407396761,0.8208824814329402
4274,GraphLog,ToxCast,0.6917558768347865,0.7801535087719298
4286,GraphLog,ToxCast,0.709824135839903,0.7156385281385282
4298,GraphLog,ToxCast,0.6725396163469558,0.7067307692307693
4310,GraphLog,ToxCast,0.5738562091503268,0.9740740740740741
4322,GraphLog,ToxCast,0.6887735849056604,0.6651428571428573
4334,GraphLog,ToxCast,0.6962676962676962,0.627906976744186
4346,GraphLog,ToxCast,0.6745014245014245,0.7383177570093459
4358,GraphLog,ToxCast,0.6186770428015564,0.765625
4370,GraphLog,ToxCast,0.6636446886446887,0.6716666666666666
4382,GraphLog,ToxCast,0.6939655172413792,0.7154896832316187
4394,GraphLog,ToxCast,0.7531152647975079,0.8104545454545454
4406,GraphLog,ToxCast,0.7051620648259304,0.6982248520710058
4418,GraphLog,ToxCast,0.7078598484848485,0.7363333333333333
4430,GraphLog,ToxCast,0.682769726247987,0.726010101010101
4442,GraphLog,ToxCast,0.5545257954896509,0.5733333333333334
4454,GraphLog,ToxCast,0.6752679634775705,0.6522644456012494
4466,GraphLog,ToxCast,0.6621129326047359,0.958005249343832
4478,GraphLog,ToxCast,0.6497119466343239,0.6770921386306001
4490,GraphLog,ToxCast,0.6590126291618829,0.7793916141408606
4502,GraphLog,ToxCast,0.6397058823529411,0.7676075637160865
4514,GraphLog,ToxCast,0.64750020389854,0.0
4526,GraphLog,ToxCast,0.6455427779137101,0.7502955082742316
4538,GraphLog,ToxCast,0.7866666666666666,1.0
4550,GraphLog,ToxCast,0.6856240126382306,0.753514526710403
4562,GraphLog,ToxCast,0.6892857142857143,0.8031496062992126
4574,GraphLog,ToxCast,0.6506410256410257,0.786
4586,GraphLog,ToxCast,0.680693396850602,0.7430555555555556
4598,GraphLog,ToxCast,0.693196405648267,0.7462121212121212
4610,GraphLog,ToxCast,0.573316006064544,0.7119938884644768
4622,GraphLog,ToxCast,0.612767770204479,0.7427499999999999
4634,GraphLog,ToxCast,0.7123399396460321,0.797
4646,GraphLog,ToxCast,0.6681974741676234,0.7113095238095238
4658,GraphLog,ToxCast,0.5783333333333334,0.8032
4670,GraphLog,ToxCast,0.5284317276349149,0.8492063492063492
4682,GraphLog,ToxCast,0.7365400843881857,0.7557392102846648
4694,GraphLog,ToxCast,0.7091926191867746,0.7259517582098227
4706,GraphLog,ToxCast,0.6924917491749175,0.7021214763150248
4718,GraphLog,ToxCast,0.7120626862377222,0.7531673219746615
4730,GraphLog,ToxCast,0.6735036119711043,0.7549261083743842
4742,GraphLog,ToxCast,0.7312567910177472,0.7649219467401286
4754,GraphLog,ToxCast,0.6761290322580644,0.8081849422055608
4766,GraphLog,ToxCast,0.648766328011611,0.7596525096525096
4778,GraphLog,ToxCast,0.712227414330218,0.7680817610062893
