,embedder,dataset,metric_test,metric
360,GraphMVP,Tox21,0.7421051819626356,0.8485492801771871
372,GraphMVP,Tox21,0.8768094841930116,0.9425012239569167
384,GraphMVP,Tox21,0.8927070788170748,0.8922475106685632
396,GraphMVP,Tox21,0.8037873996128265,0.7745417515274949
408,GraphMVP,Tox21,0.683162688764853,0.7535905143620574
420,GraphMVP,Tox21,0.7938008319364251,0.8748076923076923
432,GraphMVP,Tox21,0.7500268470790378,0.7980985739304478
444,GraphMVP,Tox21,0.7900363525363525,0.8140454854809438
456,GraphMVP,Tox21,0.7600215434331,0.8488678251711427
468,GraphMVP,Tox21,0.7940063627378304,0.8392470345538937
480,GraphMVP,Tox21,0.8939903662359507,0.8999629583899246
492,GraphMVP,Tox21,0.8427394374922562,0.7398096979266215
504,GraphMVP,Tox21,0.8062181084608996,0.8691360537295207
516,GraphMVP,Tox21,0.8221078377687729,0.9155196962505932
528,GraphMVP,Tox21,0.8823655913978494,0.8885482180293501
540,GraphMVP,Tox21,0.7988960993972427,0.8112682696841111
552,GraphMVP,Tox21,0.6878588926996569,0.7561635775228008
564,GraphMVP,Tox21,0.7326656189233106,0.8450770930905647
576,GraphMVP,Tox21,0.7766608391608392,0.7820512820512822
588,GraphMVP,Tox21,0.7713250289009832,0.7606311975591151
600,GraphMVP,Tox21,0.7483984740516807,0.8625070581592321
612,GraphMVP,Tox21,0.7556423611111112,0.8125121618992022
624,GraphMVP,Tox21,0.88234867430261,0.8893664686881316
636,GraphMVP,Tox21,0.8268550474547022,0.9005519943019943
648,GraphMVP,Tox21,0.7461020461020461,0.8697212121212121
660,GraphMVP,Tox21,0.8577800740549384,0.9385245901639344
672,GraphMVP,Tox21,0.8627619545986893,0.9122264743401041
684,GraphMVP,Tox21,0.7926606792029189,0.897451963241437
696,GraphMVP,Tox21,0.743495191456723,0.7498785124203184
708,GraphMVP,Tox21,0.7850809289232935,0.791339779845527
720,GraphMVP,Tox21,0.7402402402402402,0.8445732349841939
732,GraphMVP,Tox21,0.757905292954581,0.8083926970797753
744,GraphMVP,Tox21,0.7716960941680042,0.8555076923076924
756,GraphMVP,Tox21,0.7759710930442638,0.7459749552772809
768,GraphMVP,Tox21,0.8942142509166431,0.8876975169300225
780,GraphMVP,Tox21,0.7848562349841123,0.9048066595059076
792,GraphMVP,Tox21,0.7909559445357502,0.8216620443740095
804,GraphMVP,Tox21,0.8440581854043392,0.8491132861711406
816,GraphMVP,Tox21,0.8715251196172249,0.8863182990317716
828,GraphMVP,Tox21,0.7594978526593987,0.797798066595059
840,GraphMVP,Tox21,0.7270341207349081,0.7262568335298532
852,GraphMVP,Tox21,0.7433948282910875,0.8202395964691047
864,GraphMVP,Tox21,0.8047201549597309,0.7272727272727273
876,GraphMVP,Tox21,0.7627579398698974,0.7794347079931354
888,GraphMVP,Tox21,0.804348805768364,0.8820362545999727
900,GraphMVP,Tox21,0.7769806338028169,0.8204902491874323
912,GraphMVP,Tox21,0.8891039686838348,0.8954268768534415
924,GraphMVP,Tox21,0.8011053795136329,0.8691634773100054
936,GraphMVP,Tox21,0.7542994346273035,0.8212634822804314
948,GraphMVP,Tox21,0.850092980009298,0.9040353786622444
960,GraphMVP,Tox21,0.8571215800550429,0.894395853579527
972,GraphMVP,Tox21,0.7111330049261083,0.755672859395352
984,GraphMVP,Tox21,0.7407934735405421,0.7648648648648649
996,GraphMVP,Tox21,0.7581743375780492,0.8303870967741935
1008,GraphMVP,Tox21,0.7034201357051164,0.7935429944624386
1020,GraphMVP,Tox21,0.769084379702338,0.7999634588781876
1032,GraphMVP,Tox21,0.7736725975306323,0.8368934362472327
1044,GraphMVP,Tox21,0.7603722918160474,0.8406110585372448
1056,GraphMVP,Tox21,0.8762259997554115,0.8986806843949702
1068,GraphMVP,Tox21,0.8062729723107083,0.7972482935153584
