,embedder,dataset,metric_test,metric
1140,GraphMVP,ToxCast,0.7427669960709607,0.7755555555555556
1152,GraphMVP,ToxCast,0.5789803921568628,0.729490022172949
1164,GraphMVP,ToxCast,0.704172526957337,0.0
1176,GraphMVP,ToxCast,0.4911717495987159,0.7149425287356321
1188,GraphMVP,ToxCast,0.6652514152514153,0.7756944444444445
1200,GraphMVP,ToxCast,0.7171240708976558,0.759090909090909
1212,GraphMVP,ToxCast,0.7771164021164021,0.7459459459459459
1224,GraphMVP,ToxCast,0.6622857142857144,0.6142322097378278
1236,GraphMVP,ToxCast,0.748211091234347,0.7946428571428571
1248,GraphMVP,ToxCast,0.6264044943820224,0.6547619047619048
1260,GraphMVP,ToxCast,0.5324279379157427,0.7763532763532763
1272,GraphMVP,ToxCast,0.5647502903600465,0.0
1284,GraphMVP,ToxCast,0.6115569823434992,0.5555555555555556
1296,GraphMVP,ToxCast,0.5867940199335548,0.7219512195121951
1308,GraphMVP,ToxCast,0.5695864828812807,0.6071428571428571
1320,GraphMVP,ToxCast,0.7107843137254902,0.9090909090909091
1332,GraphMVP,ToxCast,0.7072413793103449,0.839942321557318
1344,GraphMVP,ToxCast,0.6573099415204678,0.680622009569378
1356,GraphMVP,ToxCast,0.6211801896733403,0.7854166666666667
1368,GraphMVP,ToxCast,0.6587864460204885,0.7455985915492959
1380,GraphMVP,ToxCast,0.6668571428571428,0.9438202247191012
1392,GraphMVP,ToxCast,0.6869983948635634,0.8693181818181818
1404,GraphMVP,ToxCast,0.6876138433515482,0.6041666666666667
1416,GraphMVP,ToxCast,0.7055125725338492,0.7252252252252251
1428,GraphMVP,ToxCast,0.724271162627327,0.0
1440,GraphMVP,ToxCast,0.7592592592592593,0.92
1452,GraphMVP,ToxCast,0.695438282647585,0.9288389513108615
1464,GraphMVP,ToxCast,0.6782212885154061,0.8096590909090909
1476,GraphMVP,ToxCast,0.701217329036878,0.676728334956183
1488,GraphMVP,ToxCast,0.6512358609132802,0.8227848101265822
1500,GraphMVP,ToxCast,0.5974842767295597,0.0
