,embedder,dataset,metric_test,metric
364,InfoGraph,Tox21,0.7177149380601966,0.8207751937984497
376,InfoGraph,Tox21,0.8958194675540765,0.8804330087580917
388,InfoGraph,Tox21,0.864823364110799,0.8860495834180044
400,InfoGraph,Tox21,0.7575565905736683,0.7681602172437204
412,InfoGraph,Tox21,0.7088894976543507,0.7687319082609664
424,InfoGraph,Tox21,0.7704724653877196,0.8072435897435897
436,InfoGraph,Tox21,0.6731636597938144,0.7456425652572762
448,InfoGraph,Tox21,0.7751831501831501,0.7640653357531761
460,InfoGraph,Tox21,0.8216511502654459,0.9029564432408034
472,InfoGraph,Tox21,0.6542346182357301,0.827282104177411
484,InfoGraph,Tox21,0.8586793077962127,0.8829238177552783
496,InfoGraph,Tox21,0.7719613430801636,0.7289234221132671
508,InfoGraph,Tox21,0.7436958585498993,0.852854380787626
520,InfoGraph,Tox21,0.799583835286387,0.9123556399303907
532,InfoGraph,Tox21,0.8508475648323846,0.8707547169811322
544,InfoGraph,Tox21,0.6986674672640355,0.8023102310231023
556,InfoGraph,Tox21,0.7048309652131308,0.7691821123859959
568,InfoGraph,Tox21,0.7163368050930982,0.8720202073356839
580,InfoGraph,Tox21,0.7628496503496504,0.7377622377622378
592,InfoGraph,Tox21,0.7708379336771144,0.7632055682684973
604,InfoGraph,Tox21,0.7935471100554236,0.8231225296442687
616,InfoGraph,Tox21,0.7113548344017093,0.7538431601478887
628,InfoGraph,Tox21,0.855534216671042,0.8745962279879129
640,InfoGraph,Tox21,0.8037316652286453,0.8729077635327636
652,InfoGraph,Tox21,0.7519036519036519,0.8553212121212121
664,InfoGraph,Tox21,0.8066305003013864,0.94375
676,InfoGraph,Tox21,0.83843537414966,0.8954469630065744
688,InfoGraph,Tox21,0.7431438194138166,0.7771512113617377
700,InfoGraph,Tox21,0.7418759546613698,0.7630277563387932
712,InfoGraph,Tox21,0.7929627023223083,0.7934683451924831
724,InfoGraph,Tox21,0.8006877845587523,0.7880663856691255
736,InfoGraph,Tox21,0.7151107381118333,0.7788366278246923
748,InfoGraph,Tox21,0.7693953986088817,0.8542153846153846
760,InfoGraph,Tox21,0.7711801522777132,0.7138798274229191
772,InfoGraph,Tox21,0.8478564652188405,0.8498333870794368
784,InfoGraph,Tox21,0.7584836306063928,0.8747314715359829
796,InfoGraph,Tox21,0.7716168562812147,0.8366679873217115
808,InfoGraph,Tox21,0.8174133558748945,0.8844849307103401
820,InfoGraph,Tox21,0.8526076555023923,0.8706271590522066
832,InfoGraph,Tox21,0.6389941506830681,0.7512352309344791
844,InfoGraph,Tox21,0.7305466638628628,0.7369224997320185
856,InfoGraph,Tox21,0.771540269828291,0.8576292559899117
868,InfoGraph,Tox21,0.7935569375063717,0.6402737047898338
880,InfoGraph,Tox21,0.7098475751257931,0.750286026314421
892,InfoGraph,Tox21,0.7803064443442993,0.7999863704511381
904,InfoGraph,Tox21,0.7278022300469484,0.7468174431202601
916,InfoGraph,Tox21,0.8448009503175933,0.8594245876905466
928,InfoGraph,Tox21,0.7816138540899042,0.8354291962821214
940,InfoGraph,Tox21,0.7947330447330447,0.8731547293603061
952,InfoGraph,Tox21,0.847907949790795,0.8957987838584853
964,InfoGraph,Tox21,0.8383551886028817,0.8901846452866861
976,InfoGraph,Tox21,0.6874384236453202,0.6882840885720162
988,InfoGraph,Tox21,0.7073639803958062,0.7576576576576577
1000,InfoGraph,Tox21,0.7154229504396831,0.8065806451612904
1012,InfoGraph,Tox21,0.7061250687694846,0.7559293699717898
1024,InfoGraph,Tox21,0.7730485692247384,0.7832067444470545
1036,InfoGraph,Tox21,0.787396522854952,0.8270208819481841
1048,InfoGraph,Tox21,0.6940261785257357,0.7791672299580912
1060,InfoGraph,Tox21,0.8486547633606457,0.8596681096681097
1072,InfoGraph,Tox21,0.7591154128889979,0.7910089590443686
