,embedder,dataset,metric_test,metric
1144,InfoGraph,ToxCast,0.7002619359447553,0.6515555555555556
1156,InfoGraph,ToxCast,0.620078431372549,0.623429416112343
1168,InfoGraph,ToxCast,0.7203469292076887,0.6373626373626373
1180,InfoGraph,ToxCast,0.653290529695024,0.6206896551724138
1192,InfoGraph,ToxCast,0.6765734265734266,0.6652777777777779
1204,InfoGraph,ToxCast,0.610062893081761,0.7675324675324675
1216,InfoGraph,ToxCast,0.6741822991822991,0.7542997542997543
1228,InfoGraph,ToxCast,0.6702857142857143,0.8726591760299626
1240,InfoGraph,ToxCast,0.548747763864043,0.7098214285714286
1252,InfoGraph,ToxCast,0.5933988764044944,0.626984126984127
1264,InfoGraph,ToxCast,0.5299334811529934,0.7492877492877492
1276,InfoGraph,ToxCast,0.6800232288037166,0.0
1288,InfoGraph,ToxCast,0.41011235955056174,0.6444444444444444
1300,InfoGraph,ToxCast,0.46220930232558133,0.7146341463414635
1312,InfoGraph,ToxCast,0.48999555357936864,0.6464285714285715
1324,InfoGraph,ToxCast,0.6715686274509804,0.8636363636363635
1336,InfoGraph,ToxCast,0.7575862068965517,0.8731074260994952
1348,InfoGraph,ToxCast,0.541130604288499,0.6339712918660286
1360,InfoGraph,ToxCast,0.7625570776255708,0.7697916666666667
1372,InfoGraph,ToxCast,0.6231678486997636,0.8133802816901409
1384,InfoGraph,ToxCast,0.47714285714285715,0.9700374531835206
1396,InfoGraph,ToxCast,0.64446227929374,0.6732954545454546
1408,InfoGraph,ToxCast,0.5245901639344263,0.90625
1420,InfoGraph,ToxCast,0.6539329464861379,0.7852852852852853
1432,InfoGraph,ToxCast,0.675096592904812,0.8109803921568628
1444,InfoGraph,ToxCast,0.7000000000000001,0.96
1456,InfoGraph,ToxCast,0.6820214669051878,0.9250936329588015
1468,InfoGraph,ToxCast,0.6446078431372548,0.7471590909090909
1480,InfoGraph,ToxCast,0.6682778374507699,0.0
1492,InfoGraph,ToxCast,0.6688311688311689,0.7711781888997079
1504,InfoGraph,ToxCast,0.729559748427673,0.8068181818181819
1516,InfoGraph,ToxCast,0.6122448979591837,0.6376811594202899
1528,InfoGraph,ToxCast,0.5514184397163121,0.8761904761904763
