,embedder,dataset,metric_test,metric
369,MolR_gat,Tox21,0.7419663380694528,0.8651162790697674
381,MolR_gat,Tox21,0.9199459234608984,0.9082848283740412
393,MolR_gat,Tox21,0.8733038940184665,0.8943304206462102
405,MolR_gat,Tox21,0.7782952868341863,0.8098438560760353
417,MolR_gat,Tox21,0.6942985309728453,0.7749387664217322
429,MolR_gat,Tox21,0.8071490656236419,0.8671794871794872
441,MolR_gat,Tox21,0.697594501718213,0.7959302810441163
453,MolR_gat,Tox21,0.7508880008880009,0.8044464609800364
465,MolR_gat,Tox21,0.832422866815419,0.913638757240653
477,MolR_gat,Tox21,0.7794662713120831,0.8764311500773595
489,MolR_gat,Tox21,0.8829038917348422,0.9037165082108902
501,MolR_gat,Tox21,0.8662805104695825,0.7754186230107616
513,MolR_gat,Tox21,0.7448083540999169,0.8321970082425968
525,MolR_gat,Tox21,0.8620633008432812,0.9375889890840057
537,MolR_gat,Tox21,0.8701265022137887,0.9019654088050314
549,MolR_gat,Tox21,0.7545322278931201,0.8185289957567186
561,MolR_gat,Tox21,0.6766617671076269,0.780023536334216
573,MolR_gat,Tox21,0.7569723768679576,0.8933326316897331
585,MolR_gat,Tox21,0.7868881118881119,0.7948717948717949
597,MolR_gat,Tox21,0.8030966267032096,0.8103785278413425
609,MolR_gat,Tox21,0.8226804865759735,0.9123376623376623
621,MolR_gat,Tox21,0.7840377938034188,0.8381494454173963
633,MolR_gat,Tox21,0.8943656133854678,0.8987964989059081
645,MolR_gat,Tox21,0.8648727351164798,0.8887998575498576
657,MolR_gat,Tox21,0.753004403004403,0.8370424242424243
669,MolR_gat,Tox21,0.867131662791699,0.9531762295081968
681,MolR_gat,Tox21,0.8712715855572999,0.9238543813168482
693,MolR_gat,Tox21,0.770368068641995,0.8401211361737678
705,MolR_gat,Tox21,0.7218485521925254,0.7719177886401967
717,MolR_gat,Tox21,0.7951677222613184,0.8690628230858115
729,MolR_gat,Tox21,0.7729100067809745,0.832586933614331
741,MolR_gat,Tox21,0.7787940427589934,0.8005142237109025
753,MolR_gat,Tox21,0.7719636169074372,0.835876923076923
765,MolR_gat,Tox21,0.8010872370628468,0.8216352730716615
777,MolR_gat,Tox21,0.881842773262224,0.9000322476620446
789,MolR_gat,Tox21,0.8179382424906722,0.8969745793054065
801,MolR_gat,Tox21,0.7585326546568587,0.8361232171156894
813,MolR_gat,Tox21,0.8560686108763031,0.8728558968892334
825,MolR_gat,Tox21,0.8804904306220095,0.9020824210577532
837,MolR_gat,Tox21,0.7631512466235255,0.8445220193340494
849,MolR_gat,Tox21,0.7081785399970404,0.7438364240540251
861,MolR_gat,Tox21,0.8087694194603434,0.8812105926860025
873,MolR_gat,Tox21,0.8465439902130697,0.0
885,MolR_gat,Tox21,0.7412239665829276,0.7650033803109887
897,MolR_gat,Tox21,0.8393871113114015,0.8717459452092136
909,MolR_gat,Tox21,0.8263350938967136,0.8330173347778982
921,MolR_gat,Tox21,0.8648413265054902,0.8994068987045418
933,MolR_gat,Tox21,0.8101080815524442,0.9129579004920723
945,MolR_gat,Tox21,0.7765476781870224,0.8691286843282469
957,MolR_gat,Tox21,0.8754997675499768,0.9195135433941404
969,MolR_gat,Tox21,0.8648729156548485,0.892128279883382
981,MolR_gat,Tox21,0.7291954022988506,0.8160005484335366
993,MolR_gat,Tox21,0.6973509522923258,0.753944853944854
1005,MolR_gat,Tox21,0.750648297043186,0.8510322580645161
1017,MolR_gat,Tox21,0.7345039427837887,0.8483961968446347
1029,MolR_gat,Tox21,0.7666059709419217,0.8425338657896798
1041,MolR_gat,Tox21,0.8139054504483356,0.8459881529348411
1053,MolR_gat,Tox21,0.7172241202356349,0.8379748546708125
1065,MolR_gat,Tox21,0.8715482450776569,0.8994537208822923
1077,MolR_gat,Tox21,0.8784734133790737,0.8319112627986348
