,embedder,dataset,metric_test,metric
1149,MolR_gat,ToxCast,0.7318728420050006,0.774
1161,MolR_gat,ToxCast,0.6118431372549019,0.7028824833702882
1173,MolR_gat,ToxCast,0.643694327238631,0.7591575091575092
1185,MolR_gat,ToxCast,0.49839486356340285,0.6942528735632184
1197,MolR_gat,ToxCast,0.6814019314019314,0.7569444444444444
1209,MolR_gat,ToxCast,0.7585763293310464,0.8292207792207792
1221,MolR_gat,ToxCast,0.8052549302549301,0.7921375921375922
1233,MolR_gat,ToxCast,0.6908571428571428,0.0
1245,MolR_gat,ToxCast,0.7822003577817531,0.7901785714285714
1257,MolR_gat,ToxCast,0.6334269662921348,0.9642857142857142
1269,MolR_gat,ToxCast,0.5313192904656319,0.7649572649572649
1281,MolR_gat,ToxCast,0.7087688734030196,0.7596638655462185
1293,MolR_gat,ToxCast,0.6203852327447833,0.6666666666666667
1305,MolR_gat,ToxCast,0.5423588039867109,0.7731707317073171
1317,MolR_gat,ToxCast,0.5620275678079146,0.0
1329,MolR_gat,ToxCast,0.6372549019607843,0.8977272727272727
1341,MolR_gat,ToxCast,0.5944827586206897,0.8363374188896899
1353,MolR_gat,ToxCast,0.6089668615984405,0.7272727272727274
1365,MolR_gat,ToxCast,0.7221636810677907,0.8
1377,MolR_gat,ToxCast,0.6810086682427108,0.7500000000000001
1389,MolR_gat,ToxCast,0.6325714285714286,0.906367041198502
1401,MolR_gat,ToxCast,0.6685393258426966,0.7045454545454546
1413,MolR_gat,ToxCast,0.6229508196721311,0.5520833333333333
1425,MolR_gat,ToxCast,0.6608639587362992,0.7965465465465466
1437,MolR_gat,ToxCast,0.6933614330874606,0.8588235294117648
1449,MolR_gat,ToxCast,0.5962962962962963,0.96
1461,MolR_gat,ToxCast,0.6583184257602862,0.8689138576779025
1473,MolR_gat,ToxCast,0.6204481792717087,0.8039772727272727
1485,MolR_gat,ToxCast,0.6618331543143572,0.7964946445959105
1497,MolR_gat,ToxCast,0.6571009635525764,0.8198636806231743
1509,MolR_gat,ToxCast,0.5628930817610063,0.7727272727272727
1521,MolR_gat,ToxCast,0.6387755102040817,0.8985507246376812
1533,MolR_gat,ToxCast,0.5868794326241136,0.7523809523809524
1545,MolR_gat,ToxCast,0.5088888888888888,0.6571428571428571
1557,MolR_gat,ToxCast,0.5980392156862744,0.9022556390977443
1569,MolR_gat,ToxCast,0.6571428571428571,0.7916666666666667
1581,MolR_gat,ToxCast,0.5551020408163265,0.6583333333333333
1593,MolR_gat,ToxCast,0.5265151515151515,0.7666666666666667
1605,MolR_gat,ToxCast,0.6222222222222222,0.9583333333333333
1617,MolR_gat,ToxCast,0.5311111111111111,0.8695652173913043
1629,MolR_gat,ToxCast,0.6488888888888888,0.0
1641,MolR_gat,ToxCast,0.6964285714285714,0.8695652173913043
1653,MolR_gat,ToxCast,0.737037037037037,0.9090909090909091
1665,MolR_gat,ToxCast,0.5,0.6666666666666667
1677,MolR_gat,ToxCast,0.6491228070175439,0.88
1689,MolR_gat,ToxCast,0.7835473664619392,0.8617549668874173
1701,MolR_gat,ToxCast,0.6830873554048664,0.7609902977584476
1713,MolR_gat,ToxCast,0.6019704433497537,0.7419974391805377
1725,MolR_gat,ToxCast,0.680532445923461,0.5213815789473684
1737,MolR_gat,ToxCast,0.7434533551554828,0.0
1749,MolR_gat,ToxCast,0.5970247933884297,0.9983552631578948
1761,MolR_gat,ToxCast,0.479472580161822,0.5719806763285024
1773,MolR_gat,ToxCast,0.7185321100917433,0.8195524824738307
1785,MolR_gat,ToxCast,0.5274520751907686,0.7491496598639455
1797,MolR_gat,ToxCast,0.7648164288048807,0.8199588477366255
