,embedder,dataset,metric_test,metric
370,ThreeDInfomax,Tox21,0.7233766834822049,0.8591362126245847
382,ThreeDInfomax,Tox21,0.8703410981697172,0.8597617363868791
394,ThreeDInfomax,Tox21,0.8874280744011777,0.9036527128632392
406,ThreeDInfomax,Tox21,0.8631667720851782,0.8423625254582485
418,ThreeDInfomax,Tox21,0.6760743759202821,0.7717100868403475
430,ThreeDInfomax,Tox21,0.7408114484385672,0.8645512820512821
442,ThreeDInfomax,Tox21,0.7943782216494845,0.7553164873655241
454,ThreeDInfomax,Tox21,0.7777639027639028,0.8340517241379309
466,ThreeDInfomax,Tox21,0.8254212510579365,0.8959602798465358
478,ThreeDInfomax,Tox21,0.7620150728935013,0.8292934502320783
490,ThreeDInfomax,Tox21,0.9208909957438133,0.9254969749351771
502,ThreeDInfomax,Tox21,0.8231012266138025,0.8126064735945485
514,ThreeDInfomax,Tox21,0.7024296902812388,0.8315355652793324
526,ThreeDInfomax,Tox21,0.8108823422042127,0.9432842904603703
538,ThreeDInfomax,Tox21,0.9003858317520558,0.8968029350104821
550,ThreeDInfomax,Tox21,0.75222281240618,0.8580386610089581
562,ThreeDInfomax,Tox21,0.7371549893842886,0.7474551338629009
574,ThreeDInfomax,Tox21,0.7712234623478331,0.9399568489185919
586,ThreeDInfomax,Tox21,0.817511655011655,0.8332362082362083
598,ThreeDInfomax,Tox21,0.8147869120760648,0.8009153318077805
610,ThreeDInfomax,Tox21,0.8472072266609083,0.8825522303783173
622,ThreeDInfomax,Tox21,0.7081663995726496,0.8271550885386262
634,ThreeDInfomax,Tox21,0.9186689141578125,0.9012191309784308
646,ThreeDInfomax,Tox21,0.8802955133735979,0.8944088319088319
658,ThreeDInfomax,Tox21,0.7437451437451438,0.8487272727272728
670,ThreeDInfomax,Tox21,0.8882631533626109,0.951639344262295
682,ThreeDInfomax,Tox21,0.8448954673444469,0.9171572956530272
694,ThreeDInfomax,Tox21,0.7602642235676197,0.8777151211361738
706,ThreeDInfomax,Tox21,0.7237431247992343,0.7475345167652859
718,ThreeDInfomax,Tox21,0.7998123387285949,0.8358572036732956
730,ThreeDInfomax,Tox21,0.8415189382931318,0.8657797681770286
742,ThreeDInfomax,Tox21,0.775045874169642,0.8401660612350804
754,ThreeDInfomax,Tox21,0.804186730872124,0.8484307692307693
766,ThreeDInfomax,Tox21,0.7798748225577494,0.7789119225507735
778,ThreeDInfomax,Tox21,0.8899579497961589,0.9105396108782113
790,ThreeDInfomax,Tox21,0.8144063949690549,0.8805495882563552
802,ThreeDInfomax,Tox21,0.7283432528601745,0.822454437400951
814,ThreeDInfomax,Tox21,0.8385284587207663,0.8361275317375715
826,ThreeDInfomax,Tox21,0.8444258373205742,0.8830827616406364
838,ThreeDInfomax,Tox21,0.7790668299034182,0.8129430719656283
850,ThreeDInfomax,Tox21,0.7216134333356699,0.7674188015864509
862,ThreeDInfomax,Tox21,0.8143780662305804,0.8491803278688526
874,ThreeDInfomax,Tox21,0.8434346008767459,0.854512870641903
886,ThreeDInfomax,Tox21,0.7560391633944554,0.7831530500806074
898,ThreeDInfomax,Tox21,0.7822217214961694,0.9024805778928717
910,ThreeDInfomax,Tox21,0.7797535211267606,0.8263813651137595
922,ThreeDInfomax,Tox21,0.8811272096115023,0.9077571406274387
934,ThreeDInfomax,Tox21,0.8486981085728322,0.8580645161290322
946,ThreeDInfomax,Tox21,0.7650628060464126,0.8740991102937521
958,ThreeDInfomax,Tox21,0.852138540213854,0.9461028192371476
970,ThreeDInfomax,Tox21,0.8659025416869031,0.9219601260417587
982,ThreeDInfomax,Tox21,0.7572577996715928,0.8168231987386028
994,ThreeDInfomax,Tox21,0.7497301321421924,0.7576030576030576
1006,ThreeDInfomax,Tox21,0.7642226954669912,0.8998709677419356
1018,ThreeDInfomax,Tox21,0.7980240234733174,0.8779646849858949
1030,ThreeDInfomax,Tox21,0.8044775741942011,0.8182862213869966
1042,ThreeDInfomax,Tox21,0.7994460353973992,0.838688446119787
1054,ThreeDInfomax,Tox21,0.7407173084763872,0.8260105448154658
1066,ThreeDInfomax,Tox21,0.898593616240675,0.9049422799422799
1078,ThreeDInfomax,Tox21,0.8120558686596422,0.8095136518771332
