,embedder,dataset,metric_test,metric
1150,ThreeDInfomax,ToxCast,0.787950946541255,0.7655555555555557
1162,ThreeDInfomax,ToxCast,0.6092549019607842,0.7524020694752401
1174,ThreeDInfomax,ToxCast,0.6999531176746366,0.6575091575091576
1186,ThreeDInfomax,ToxCast,0.6886035313001605,0.671264367816092
1198,ThreeDInfomax,ToxCast,0.6759074259074259,0.7861111111111111
1210,ThreeDInfomax,ToxCast,0.7015437392795882,0.8175324675324674
1222,ThreeDInfomax,ToxCast,0.8196849446849446,0.8353808353808354
1234,ThreeDInfomax,ToxCast,0.6371428571428571,0.6217228464419475
1246,ThreeDInfomax,ToxCast,0.6771019677996422,0.8169642857142858
1258,ThreeDInfomax,ToxCast,0.6404494382022472,0.5476190476190476
1270,ThreeDInfomax,ToxCast,0.5415742793791574,0.8433048433048433
1282,ThreeDInfomax,ToxCast,0.7192218350754935,0.8168067226890756
1294,ThreeDInfomax,ToxCast,0.3788121990369181,0.7111111111111111
1306,ThreeDInfomax,ToxCast,0.5681063122923589,0.7658536585365854
1318,ThreeDInfomax,ToxCast,0.6118274788795021,0.4375
1330,ThreeDInfomax,ToxCast,0.8137254901960784,0.9090909090909091
1342,ThreeDInfomax,ToxCast,0.6639655172413793,0.8089401586157173
1354,ThreeDInfomax,ToxCast,0.616374269005848,0.7344497607655502
1366,ThreeDInfomax,ToxCast,0.7588689848963821,0.8010416666666667
1378,ThreeDInfomax,ToxCast,0.7103230890464933,0.7579225352112676
1390,ThreeDInfomax,ToxCast,0.6725714285714286,0.9588014981273408
1402,ThreeDInfomax,ToxCast,0.7479935794542536,0.5823863636363636
1414,ThreeDInfomax,ToxCast,0.6657559198542805,0.7708333333333334
1426,ThreeDInfomax,ToxCast,0.7039007092198581,0.7274774774774775
1438,ThreeDInfomax,ToxCast,0.71390937829294,0.8407843137254902
1450,ThreeDInfomax,ToxCast,0.5666666666666667,1.0
1462,ThreeDInfomax,ToxCast,0.5948121645796064,0.8277153558052436
1474,ThreeDInfomax,ToxCast,0.6235994397759104,0.7897727272727273
1486,ThreeDInfomax,ToxCast,0.6811672037235946,0.7312560856864654
1498,ThreeDInfomax,ToxCast,0.6420192710515291,0.8237585199610515
1510,ThreeDInfomax,ToxCast,0.6069182389937107,0.7613636363636364
1522,ThreeDInfomax,ToxCast,0.626530612244898,1.0
